soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Graveleux,5.2,38.7,27.7,0.12,95.9,133.3,17.3,19.8,Faible,Nématodose,2,3
Sableux,6.5,34.2,31.5,0.34,61.4,99.5,21.9,24.6,Faible,Sclérotiniose,5,4
Hydromorphes,6.6,26.5,67.4,1.36,112.6,155.6,17.7,9.8,Moyenne,Fusariose,3,2
Hydromorphes,6.4,27.8,57.9,1.24,87.9,118.6,15.5,18.8,Moyenne,Charcoal Rot,3,1
Hydromorphes,7.0,27.9,62.5,1.49,64.5,160.9,13.0,19.3,Moyenne,Sclérotiniose,3,4
Limoneux,7.1,26.5,43.3,1.05,130.4,130.6,19.7,18.1,Moyenne,Nématodose,4,3
Argilo-sableux,6.7,28.2,38.3,0.68,66.7,164.2,26.7,26.8,Moyenne,Fusariose,0,2
Limoneux,7.3,27.0,50.8,1.08,127.1,164.3,16.9,5.0,Moyenne,Fusariose,4,2
Sableux,6.0,35.8,30.6,0.26,71.2,195.2,23.3,29.9,Faible,Nématodose,5,3
Limoneux,7.4,27.0,43.7,1.11,94.6,72.8,30.8,16.6,Élevée,Anthracnose,4,0
Graveleux,5.3,38.8,15.1,0.29,125.1,124.1,24.3,12.7,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.9,32.2,20.1,0.37,126.3,196.5,10.1,22.9,Faible,Sclérotiniose,1,4
Limoneux,6.9,30.6,54.5,0.82,86.0,102.4,38.7,17.3,Moyenne,Sclérotiniose,4,4
Sableux,6.3,32.7,27.6,0.38,105.9,73.0,33.8,12.9,Faible,Sclérotiniose,5,4
Limoneux,7.3,31.7,50.0,0.84,70.4,111.4,35.0,23.3,Moyenne,Charcoal Rot,4,1
Sableux,6.4,37.3,25.4,0.38,66.0,155.0,32.9,20.9,Faible,Fusariose,5,2
Argilo-sableux,6.6,32.7,42.0,0.68,136.6,75.4,30.2,28.4,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,6.0,35.2,24.2,0.45,130.4,126.0,38.9,25.2,Faible,Sclérotiniose,1,4
Graveleux,5.8,36.8,17.7,0.26,127.5,167.3,30.7,29.8,Faible,Sclérotiniose,2,4
Sableux,5.5,36.4,24.9,0.28,61.7,114.4,19.9,7.6,Faible,Anthracnose,5,0
Argilo-sableux,6.5,30.5,33.4,0.67,114.2,103.8,33.0,11.5,Moyenne,Fusariose,0,2
Graveleux,5.2,37.3,25.6,0.1,116.3,79.6,10.2,16.0,Faible,Charcoal Rot,2,1
Sableux,6.4,32.1,28.1,0.22,113.6,142.8,33.2,29.6,Faible,Fusariose,5,2
Hydromorphes,6.8,26.3,69.1,1.36,109.0,168.0,36.7,8.8,Élevée,Anthracnose,3,0
Argilo-sableux,6.4,29.7,41.8,0.63,61.7,114.9,32.9,9.6,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.4,26.0,62.0,1.43,69.1,190.7,33.5,24.9,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.6,31.3,31.3,0.35,141.6,113.7,38.6,27.7,Faible,Charcoal Rot,1,1
Argilo-sableux,6.4,31.9,31.5,0.54,79.5,125.7,16.3,18.8,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.3,27.5,57.3,1.05,93.9,110.5,22.9,9.4,Moyenne,Nématodose,3,3
Hydromorphes,6.5,27.8,57.3,1.12,129.9,104.7,14.9,6.0,Moyenne,Fusariose,3,2
Limoneux,6.5,30.9,51.1,1.13,114.0,82.9,16.0,12.7,Moyenne,Fusariose,4,2
Graveleux,5.1,36.0,27.6,0.25,94.8,168.8,22.9,28.4,Faible,Anthracnose,2,0
Graveleux,5.3,38.3,29.3,0.25,120.9,96.9,34.4,29.7,Faible,Nématodose,2,3
Sableux,6.4,35.6,25.1,0.23,63.2,157.0,12.2,16.1,Faible,Charcoal Rot,5,1
Hydromorphes,6.1,25.7,64.5,1.0,130.3,172.5,23.6,19.0,Moyenne,Sclérotiniose,3,4
Hydromorphes,6.8,26.3,68.1,1.01,96.8,145.9,18.5,19.1,Moyenne,Sclérotiniose,3,4
Argilo-sableux,6.5,32.9,32.8,0.51,134.5,160.3,39.0,16.6,Moyenne,Nématodose,0,3
Hydromorphes,6.1,27.4,55.4,1.35,80.4,186.9,21.5,6.5,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.0,27.7,63.5,1.06,109.2,96.4,15.6,13.2,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.4,32.0,42.5,0.56,148.3,125.4,15.5,7.7,Moyenne,Nématodose,0,3
Argilo-sableux,6.5,33.5,41.7,0.63,131.5,106.6,29.0,8.7,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.6,26.7,55.3,1.03,138.8,121.1,16.4,27.5,Moyenne,Anthracnose,3,0
Hydromorphes,6.6,27.3,50.8,1.07,133.0,76.4,32.2,29.8,Élevée,Nématodose,3,3
Hydromorphes,6.8,27.9,59.2,1.43,97.5,193.4,18.2,10.1,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.4,27.3,55.6,1.37,94.8,175.0,20.5,20.3,Moyenne,Nématodose,3,3
Sableux,6.3,37.8,31.9,0.25,65.1,84.8,29.9,22.1,Faible,Anthracnose,5,0
Hydromorphes,6.0,26.9,64.6,1.24,127.1,150.3,34.8,12.4,Élevée,Charcoal Rot,3,1
Graveleux,5.2,35.4,28.7,0.23,94.8,148.2,23.5,9.6,Faible,Nématodose,2,3
Hydromorphes,6.4,25.9,61.1,1.45,108.9,146.1,35.1,24.8,Élevée,Charcoal Rot,3,1
Ferrugineux tropicaux,5.7,32.7,21.4,0.48,111.1,145.8,25.3,15.0,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.3,35.5,23.4,0.42,74.2,186.2,28.8,21.3,Faible,Fusariose,1,2
Hydromorphes,6.5,27.5,53.3,1.44,86.5,194.5,11.7,16.0,Moyenne,Anthracnose,3,0
Limoneux,6.8,28.7,52.4,0.82,65.9,158.0,32.1,22.0,Moyenne,Fusariose,4,2
Argilo-sableux,6.1,30.7,36.7,0.59,113.6,149.4,34.5,7.6,Moyenne,Charcoal Rot,0,1
Ferrugineux tropicaux,6.0,32.6,25.9,0.46,81.0,105.6,32.5,23.7,Faible,Fusariose,1,2
Sableux,6.1,35.8,34.9,0.38,65.2,169.0,30.5,11.0,Faible,Nématodose,5,3
Argilo-sableux,6.4,28.5,44.5,0.58,61.7,112.7,16.8,28.0,Moyenne,Sclérotiniose,0,4
Hydromorphes,7.0,28.8,60.9,1.18,81.3,137.7,19.0,22.6,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.6,29.1,32.3,0.55,69.7,142.6,30.4,15.3,Moyenne,Charcoal Rot,0,1
Graveleux,5.2,35.8,24.3,0.18,65.9,141.1,32.7,28.8,Faible,Anthracnose,2,0
Sableux,5.7,38.0,21.5,0.31,62.9,174.5,30.7,23.6,Faible,Fusariose,5,2
Argilo-sableux,6.3,34.0,32.5,0.69,134.5,181.5,29.5,28.0,Moyenne,Charcoal Rot,0,1
Sableux,5.8,36.8,26.5,0.22,141.8,119.4,13.3,29.1,Faible,Charcoal Rot,5,1
Sableux,5.5,33.5,20.1,0.4,129.4,91.5,27.6,5.6,Faible,Nématodose,5,3
Sableux,6.3,32.3,30.5,0.21,129.7,150.7,18.7,12.9,Faible,Sclérotiniose,5,4
Graveleux,5.2,34.9,29.6,0.28,104.2,177.9,19.2,19.9,Faible,Nématodose,2,3
Sableux,5.5,36.9,25.0,0.38,79.7,183.5,21.5,16.2,Faible,Sclérotiniose,5,4
Hydromorphes,6.5,28.1,55.7,1.36,103.1,105.9,14.3,19.6,Moyenne,Fusariose,3,2
Limoneux,7.4,31.8,53.9,0.82,144.3,77.3,28.9,16.9,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.2,32.7,38.3,0.4,144.3,128.9,14.8,5.5,Faible,Anthracnose,1,0
Graveleux,5.3,37.7,29.9,0.29,66.5,106.5,25.2,11.5,Faible,Charcoal Rot,2,1
Ferrugineux tropicaux,5.0,34.1,23.9,0.38,137.1,163.7,38.9,25.5,Faible,Charcoal Rot,1,1
Argilo-sableux,6.7,29.7,34.5,0.69,112.1,85.7,12.1,23.2,Moyenne,Nématodose,0,3
Limoneux,6.8,31.5,45.9,1.02,121.9,133.5,10.6,28.6,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.2,32.0,23.6,0.35,125.2,122.7,18.1,16.0,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.4,32.9,39.2,0.35,140.6,124.2,31.3,5.5,Faible,Fusariose,1,2
Argilo-sableux,6.8,31.5,42.2,0.54,138.0,80.8,35.6,26.3,Moyenne,Anthracnose,0,0
Graveleux,5.3,37.6,19.0,0.25,115.6,119.9,30.7,11.2,Faible,Nématodose,2,3
Hydromorphes,6.5,27.2,59.3,1.31,69.2,100.1,27.6,19.2,Moyenne,Charcoal Rot,3,1
Sableux,5.9,32.7,24.7,0.3,63.1,174.8,24.2,24.4,Faible,Fusariose,5,2
Hydromorphes,6.0,26.7,60.9,1.09,130.3,185.9,12.5,14.5,Moyenne,Sclérotiniose,3,4
Ferrugineux tropicaux,5.1,31.2,30.1,0.35,137.6,101.7,13.9,15.9,Faible,Charcoal Rot,1,1
Sableux,5.7,34.3,25.7,0.32,144.3,150.9,32.2,6.4,Faible,Anthracnose,5,0
Limoneux,7.2,29.0,49.5,0.92,126.8,159.5,31.3,29.8,Moyenne,Charcoal Rot,4,1
Hydromorphes,6.5,26.5,67.0,1.41,96.9,143.0,16.4,27.4,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.8,26.0,61.0,1.21,88.6,80.8,35.6,24.0,Élevée,Charcoal Rot,3,1
Graveleux,5.4,36.7,27.3,0.25,145.6,92.3,21.1,19.7,Faible,Charcoal Rot,2,1
Limoneux,7.2,29.9,46.3,1.14,125.7,108.7,27.6,15.3,Moyenne,Fusariose,4,2
Argilo-sableux,6.2,31.2,35.2,0.6,143.1,184.1,30.0,6.7,Moyenne,Charcoal Rot,0,1
Sableux,6.1,33.3,31.5,0.31,115.7,106.2,21.6,15.6,Faible,Sclérotiniose,5,4
Limoneux,7.0,31.0,43.1,1.13,136.5,114.9,14.6,15.8,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.1,31.5,35.8,0.31,84.8,112.0,34.6,13.3,Faible,Charcoal Rot,1,1
Hydromorphes,7.0,26.6,64.9,1.23,79.4,159.9,22.3,18.5,Moyenne,Charcoal Rot,3,1
Graveleux,5.4,36.1,18.6,0.19,80.9,113.0,38.4,17.6,Faible,Fusariose,2,2
Graveleux,5.6,35.6,26.9,0.27,81.2,95.7,17.2,24.2,Faible,Nématodose,2,3
Argilo-sableux,6.9,29.3,44.1,0.57,140.3,162.7,16.7,23.8,Moyenne,Sclérotiniose,0,4
Sableux,6.1,36.3,22.8,0.35,67.0,101.8,11.2,13.4,Faible,Charcoal Rot,5,1
Limoneux,6.6,26.1,41.4,0.84,118.3,87.3,13.7,9.9,Moyenne,Charcoal Rot,4,1
Hydromorphes,6.1,28.5,67.8,1.09,138.6,191.0,35.2,16.8,Élevée,Sclérotiniose,3,4
Argilo-sableux,6.5,30.5,43.7,0.55,79.6,98.7,21.9,9.5,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.3,28.5,38.7,0.57,61.5,92.0,18.3,8.1,Moyenne,Nématodose,0,3
Sableux,5.8,33.1,28.2,0.25,119.1,114.2,23.2,7.8,Faible,Fusariose,5,2
Limoneux,6.7,31.8,43.4,1.09,68.9,167.5,39.1,18.6,Élevée,Charcoal Rot,4,1
Limoneux,6.9,31.0,40.9,0.8,61.9,179.9,10.4,17.8,Moyenne,Nématodose,4,3
Sableux,6.2,33.4,22.8,0.24,67.3,78.0,12.2,24.3,Faible,Anthracnose,5,0
Limoneux,6.9,28.1,44.4,1.13,67.6,96.4,10.4,29.1,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.5,31.4,33.7,0.38,91.2,141.2,19.5,14.4,Faible,Charcoal Rot,1,1
Sableux,6.2,37.7,28.3,0.35,87.5,154.6,36.7,21.9,Faible,Fusariose,5,2
Sableux,5.7,37.9,30.7,0.27,72.2,182.7,15.6,26.4,Faible,Fusariose,5,2
Hydromorphes,6.1,26.5,58.3,1.07,114.8,124.2,29.5,9.6,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.7,25.2,57.4,1.32,104.4,179.7,16.4,18.3,Moyenne,Charcoal Rot,3,1
Graveleux,5.4,38.9,21.1,0.13,94.1,188.8,37.6,19.3,Faible,Anthracnose,2,0
Limoneux,6.6,28.2,47.6,0.91,98.3,95.8,31.7,29.0,Moyenne,Fusariose,4,2
Graveleux,5.7,36.2,24.1,0.2,141.8,112.5,35.7,21.3,Faible,Anthracnose,2,0
Argilo-sableux,6.9,33.8,30.1,0.6,140.0,89.3,14.1,23.7,Moyenne,Fusariose,0,2
Graveleux,5.1,34.3,24.3,0.23,102.6,104.0,21.7,21.3,Faible,Sclérotiniose,2,4
Argilo-sableux,6.7,31.1,42.3,0.59,116.9,77.5,15.4,13.5,Moyenne,Sclérotiniose,0,4
Hydromorphes,6.4,26.0,63.8,1.44,117.7,172.7,10.1,8.0,Moyenne,Fusariose,3,2
Graveleux,5.4,39.4,24.3,0.17,121.3,197.0,28.1,9.2,Faible,Charcoal Rot,2,1
Graveleux,5.1,34.8,29.5,0.27,132.0,132.5,25.5,17.9,Faible,Sclérotiniose,2,4
Argilo-sableux,6.7,29.1,30.7,0.56,150.0,141.7,32.8,16.6,Moyenne,Anthracnose,0,0
Argilo-sableux,6.5,33.2,37.2,0.7,96.8,113.8,15.4,5.4,Moyenne,Fusariose,0,2
Sableux,5.9,34.1,20.6,0.25,98.6,104.7,15.4,25.7,Faible,Fusariose,5,2
Hydromorphes,6.3,26.1,52.7,1.11,121.0,135.6,17.7,13.5,Moyenne,Sclérotiniose,3,4
Graveleux,5.3,37.9,19.6,0.3,95.6,73.9,29.6,26.6,Faible,Charcoal Rot,2,1
Sableux,5.7,37.5,30.9,0.27,60.2,86.9,34.9,26.2,Faible,Fusariose,5,2
Sableux,5.6,35.6,25.8,0.21,79.5,193.6,19.5,28.5,Faible,Nématodose,5,3
Graveleux,5.6,39.8,16.8,0.25,102.8,195.1,39.4,9.7,Faible,Charcoal Rot,2,1
Limoneux,7.1,28.3,44.5,0.87,106.3,83.7,14.9,5.7,Moyenne,Anthracnose,4,0
Sableux,6.0,37.8,32.0,0.23,63.2,196.2,32.1,14.1,Faible,Sclérotiniose,5,4
Limoneux,7.2,30.7,54.3,1.19,145.4,182.1,22.9,19.8,Moyenne,Sclérotiniose,4,4
Sableux,5.6,32.0,31.4,0.36,82.4,98.7,31.6,14.8,Faible,Charcoal Rot,5,1
Hydromorphes,6.1,26.6,64.8,1.36,101.8,163.4,19.9,26.4,Moyenne,Charcoal Rot,3,1
Limoneux,6.7,29.7,52.4,0.94,135.2,109.1,36.9,22.7,Moyenne,Fusariose,4,2
Hydromorphes,6.8,27.1,54.8,1.17,85.1,95.8,27.5,13.8,Moyenne,Sclérotiniose,3,4
Argilo-sableux,6.3,31.0,34.4,0.55,71.2,136.3,35.1,19.9,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.3,31.5,40.4,0.55,119.8,187.7,32.7,23.1,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.1,31.2,34.2,0.62,67.2,192.5,32.6,27.4,Moyenne,Anthracnose,0,0
Graveleux,5.6,39.7,19.3,0.12,130.1,154.1,17.1,15.1,Faible,Sclérotiniose,2,4
Limoneux,6.6,31.9,53.3,0.95,120.8,116.7,33.0,13.3,Moyenne,Sclérotiniose,4,4
Limoneux,6.9,30.8,42.2,1.03,145.8,163.4,26.4,9.3,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.1,32.5,36.1,0.37,67.3,119.5,29.9,14.3,Faible,Sclérotiniose,1,4
Sableux,6.4,32.7,29.2,0.36,123.3,164.8,28.6,15.6,Faible,Nématodose,5,3
Argilo-sableux,6.3,31.1,41.0,0.63,106.9,195.5,27.6,21.9,Moyenne,Sclérotiniose,0,4
Sableux,6.5,36.0,31.2,0.29,75.3,80.2,26.8,26.5,Faible,Nématodose,5,3
Limoneux,6.6,26.4,53.4,0.97,135.7,186.4,11.6,19.6,Moyenne,Nématodose,4,3
Ferrugineux tropicaux,5.0,31.7,25.5,0.46,91.3,88.9,17.1,29.3,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.4,35.1,24.3,0.49,91.2,179.5,29.3,5.4,Faible,Sclérotiniose,1,4
Hydromorphes,6.9,28.1,66.9,1.21,90.4,142.2,10.9,28.2,Moyenne,Anthracnose,3,0
Argilo-sableux,6.5,31.7,43.6,0.51,69.4,86.9,21.2,28.8,Moyenne,Charcoal Rot,0,1
Sableux,6.0,37.5,23.8,0.32,141.6,130.5,25.5,23.7,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.1,33.5,34.2,0.41,69.0,163.4,22.0,21.1,Faible,Fusariose,1,2
Sableux,6.1,32.4,21.2,0.23,67.8,124.6,21.4,18.1,Faible,Sclérotiniose,5,4
Hydromorphes,6.4,27.7,66.5,1.44,66.9,107.7,28.3,18.6,Moyenne,Charcoal Rot,3,1
Limoneux,7.5,29.4,40.8,0.85,118.0,194.5,38.1,24.9,Moyenne,Fusariose,4,2
Argilo-sableux,6.1,32.2,43.2,0.54,132.3,101.0,15.8,12.9,Moyenne,Nématodose,0,3
Sableux,5.6,35.9,31.3,0.2,117.2,103.0,28.6,21.6,Faible,Fusariose,5,2
Graveleux,5.2,38.2,25.8,0.22,104.7,156.0,30.9,11.8,Faible,Charcoal Rot,2,1
Limoneux,6.6,30.2,53.3,1.04,109.1,126.3,25.1,10.3,Moyenne,Nématodose,4,3
Graveleux,5.3,36.9,17.2,0.29,70.4,186.9,35.4,17.9,Faible,Sclérotiniose,2,4
Graveleux,5.1,38.3,17.0,0.11,105.0,171.1,16.9,7.4,Faible,Sclérotiniose,2,4
Graveleux,5.4,35.3,28.4,0.22,69.4,171.7,17.0,22.4,Faible,Sclérotiniose,2,4
Graveleux,5.8,36.1,24.3,0.17,103.8,186.8,16.4,19.9,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.3,33.6,37.3,0.46,81.4,87.7,10.7,26.2,Faible,Charcoal Rot,1,1
Ferrugineux tropicaux,5.2,31.6,22.7,0.41,108.5,174.2,11.5,28.8,Faible,Anthracnose,1,0
Graveleux,5.7,34.5,19.0,0.12,63.4,139.4,10.2,18.3,Faible,Charcoal Rot,2,1
Hydromorphes,6.1,29.3,57.7,1.39,96.9,127.1,32.8,23.8,Élevée,Fusariose,3,2
Sableux,6.3,32.3,26.7,0.34,111.3,123.2,24.3,27.0,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.4,33.6,36.8,0.48,115.9,181.7,37.6,19.3,Faible,Anthracnose,1,0
Hydromorphes,7.0,27.1,67.5,1.13,78.1,174.0,35.8,20.6,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.8,30.3,26.6,0.41,124.2,147.6,33.2,11.0,Faible,Anthracnose,1,0
Sableux,5.9,35.6,33.0,0.26,137.1,188.2,22.1,12.4,Faible,Fusariose,5,2
Sableux,6.2,35.2,28.7,0.33,108.3,185.8,34.9,16.2,Faible,Charcoal Rot,5,1
Graveleux,5.0,34.5,27.4,0.22,84.8,167.0,14.7,8.3,Faible,Anthracnose,2,0
Hydromorphes,6.8,28.3,53.1,1.3,61.6,154.5,15.3,15.7,Moyenne,Charcoal Rot,3,1
Graveleux,6.0,37.5,21.2,0.26,139.7,101.7,18.3,18.2,Faible,Anthracnose,2,0
Hydromorphes,6.5,25.2,51.9,1.31,94.8,122.9,30.4,21.5,Élevée,Sclérotiniose,3,4
Argilo-sableux,6.8,31.3,33.0,0.51,138.5,83.3,30.6,28.7,Moyenne,Charcoal Rot,0,1
Ferrugineux tropicaux,5.4,30.5,35.4,0.49,70.3,169.6,16.0,15.1,Faible,Sclérotiniose,1,4
Hydromorphes,6.3,26.7,62.3,1.4,135.9,109.8,13.5,14.6,Moyenne,Charcoal Rot,3,1
Sableux,6.1,37.6,28.3,0.31,85.3,157.6,30.2,10.4,Faible,Sclérotiniose,5,4
Argilo-sableux,6.7,29.0,41.5,0.57,126.0,168.2,26.1,27.3,Moyenne,Sclérotiniose,0,4
Argilo-sableux,6.5,30.5,32.3,0.55,79.8,93.5,23.0,15.0,Moyenne,Sclérotiniose,0,4
Limoneux,7.4,28.2,48.6,0.84,107.2,170.1,24.7,5.3,Moyenne,Fusariose,4,2
Graveleux,5.2,38.7,28.8,0.28,139.3,90.4,19.6,19.6,Faible,Nématodose,2,3
Sableux,6.4,35.2,25.0,0.31,114.6,83.6,10.6,11.6,Faible,Anthracnose,5,0
Sableux,6.2,32.2,21.2,0.38,77.7,136.0,17.3,20.3,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.2,31.5,37.6,0.39,124.6,198.0,15.2,12.5,Faible,Nématodose,1,3
Argilo-sableux,6.7,28.9,43.6,0.55,115.1,99.4,29.3,27.7,Moyenne,Anthracnose,0,0
Ferrugineux tropicaux,5.5,33.7,22.6,0.45,122.5,153.7,12.4,14.8,Faible,Sclérotiniose,1,4
Sableux,6.1,34.3,34.2,0.31,129.4,149.7,31.8,21.3,Faible,Nématodose,5,3
Graveleux,5.1,35.5,15.2,0.26,60.8,100.7,32.9,27.5,Faible,Sclérotiniose,2,4
Limoneux,6.9,29.2,48.5,0.89,109.7,97.2,39.9,11.5,Moyenne,Nématodose,4,3
Argilo-sableux,6.4,33.4,35.4,0.58,106.4,107.9,36.2,12.0,Moyenne,Fusariose,0,2
Graveleux,5.7,37.0,17.8,0.21,110.9,143.0,13.1,19.1,Faible,Fusariose,2,2
Graveleux,5.1,38.1,28.1,0.29,61.6,176.8,19.5,11.1,Faible,Sclérotiniose,2,4
Limoneux,7.2,31.7,51.1,1.01,66.8,88.0,23.4,7.5,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.3,34.0,39.5,0.31,77.3,118.1,13.7,22.5,Faible,Fusariose,1,2
Limoneux,7.0,32.0,43.9,1.15,90.3,100.0,34.6,5.1,Élevée,Anthracnose,4,0
Argilo-sableux,6.3,28.1,43.1,0.55,90.4,75.2,37.5,25.2,Moyenne,Nématodose,0,3
Limoneux,7.1,26.4,45.0,0.84,119.5,81.3,29.7,11.4,Moyenne,Fusariose,4,2
Sableux,6.4,37.9,20.8,0.23,69.1,124.0,16.7,14.4,Faible,Nématodose,5,3
Argilo-sableux,6.7,32.2,37.6,0.67,146.4,106.7,27.5,17.2,Moyenne,Nématodose,0,3
Limoneux,7.1,28.4,48.2,0.96,68.9,180.6,15.0,27.1,Moyenne,Sclérotiniose,4,4
Limoneux,7.3,26.5,53.2,0.96,149.1,165.0,12.1,27.5,Moyenne,Sclérotiniose,4,4
Limoneux,6.9,26.6,49.6,0.88,93.8,178.0,36.5,27.0,Moyenne,Charcoal Rot,4,1
Limoneux,6.9,31.6,44.3,0.81,75.7,196.4,23.4,18.3,Moyenne,Sclérotiniose,4,4
Limoneux,6.8,26.2,44.1,0.85,119.4,96.0,23.7,15.0,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.9,35.6,34.4,0.37,128.2,197.1,19.3,16.3,Faible,Fusariose,1,2
Hydromorphes,6.0,29.2,69.7,1.16,76.6,116.6,19.0,20.0,Moyenne,Nématodose,3,3
Graveleux,5.8,35.9,19.1,0.26,65.0,109.4,17.1,20.9,Faible,Fusariose,2,2
Graveleux,5.1,35.5,17.2,0.3,88.8,147.1,35.2,25.0,Faible,Fusariose,2,2
Sableux,6.5,32.5,33.8,0.22,128.5,103.5,39.8,19.3,Faible,Nématodose,5,3
