soil_type,pH,potassium,phosphore,azote,humidite,EC,temperature,rainfall,culture_recommandee
Argileux,7.24,208.6,20.5,0.225,23.7,1.45,37.9,288.8,Niébé
Argileux,7.11,178.0,34.2,0.044,11.7,0.78,25.6,454.7,Sésame
Rocheux,5.87,83.0,26.9,0.209,37.9,0.7,29.2,313.4,Arachide
Salin,7.59,189.0,52.8,0.293,26.3,0.55,28.3,650.8,Mil
Sableux,5.7,131.9,58.3,0.139,6.0,1.87,40.4,740.6,Mil
Salin,7.34,88.7,10.7,0.089,15.0,0.64,30.7,658.9,Patate douce
Rocheux,7.71,210.5,40.7,0.255,24.9,2.28,25.3,311.4,Riz pluvial
Argileux,6.78,260.7,24.4,0.216,22.7,0.65,33.1,768.4,Maïs
Argileux,6.95,112.8,57.4,0.266,23.8,0.92,27.4,731.0,Gombo
Sableux,7.63,119.9,36.6,0.268,13.7,2.05,26.0,186.1,Sorgho
Sableux,7.97,281.5,56.4,0.097,14.5,2.48,34.5,730.1,Sorgho
Limonneux,6.28,294.0,9.6,0.263,37.3,0.17,35.6,383.0,Arachide
Sableux,6.37,157.9,48.6,0.138,37.3,1.95,40.9,427.9,Gombo
Salin,5.97,295.6,40.2,0.024,6.5,1.52,31.6,519.1,Gombo
Limonneux,6.88,282.7,28.8,0.07,11.0,0.64,28.9,576.1,Riz pluvial
Rocheux,6.24,104.1,48.1,0.165,36.0,0.51,26.5,652.8,Niébé
Salin,6.78,189.7,15.2,0.155,29.0,1.88,32.0,209.5,Niébé
Limonneux,7.45,72.6,55.7,0.246,13.0,1.47,40.5,219.0,Maïs
Limonneux,6.15,207.6,40.4,0.222,22.3,2.32,26.7,449.7,Sésame
Salin,6.47,155.2,45.1,0.156,20.4,2.11,32.5,470.4,Arachide
Salin,7.62,250.7,53.8,0.051,24.0,2.4,40.1,529.3,Patate douce
Salin,7.06,181.9,52.2,0.215,22.3,1.6,44.0,196.2,Sorgho
Salin,7.39,96.3,35.1,0.124,30.3,2.48,33.6,696.9,Gombo
Limonneux,6.63,123.9,13.4,0.197,26.5,0.36,30.0,727.4,Sorgho
Sableux,7.06,224.9,39.6,0.268,19.7,1.06,28.5,527.3,Sorgho
Rocheux,5.58,153.2,23.6,0.144,13.0,0.57,30.0,166.2,Maïs
Rocheux,5.54,52.9,8.2,0.294,24.8,0.92,37.5,753.7,Arachide
Limonneux,7.9,147.1,17.5,0.178,9.2,2.49,41.8,109.6,Riz pluvial
Rocheux,7.8,229.2,8.5,0.087,15.1,0.7,33.9,558.4,Riz pluvial
Sableux,6.44,284.0,51.3,0.299,22.1,0.61,30.7,250.1,Niébé
Argileux,7.94,92.9,13.9,0.263,8.1,2.31,41.8,397.8,Manioc
Rocheux,7.19,127.4,36.4,0.049,21.2,0.18,27.4,688.3,Manioc
Salin,5.67,180.9,33.9,0.07,12.9,0.85,41.4,453.7,Arachide
Salin,7.21,104.2,17.1,0.168,23.7,1.82,41.4,310.9,Maïs
Salin,6.23,69.1,54.3,0.188,20.8,1.08,37.0,592.3,Mil
Argileux,7.35,140.7,49.5,0.249,27.3,1.57,41.0,535.2,Mil
Sableux,7.28,189.7,42.0,0.184,27.5,0.62,26.3,350.8,Sorgho
Argileux,6.71,72.6,54.4,0.234,35.0,1.77,42.8,400.2,Sésame
Salin,7.52,129.5,39.7,0.12,33.7,2.04,35.5,757.9,Sésame
Sableux,7.4,124.1,21.1,0.262,27.7,1.32,40.1,348.4,Patate douce
Argileux,6.94,104.0,55.6,0.165,5.9,0.46,35.9,778.9,Riz pluvial
Rocheux,6.01,263.3,57.9,0.276,27.1,1.44,37.7,644.2,Mil
Rocheux,6.97,223.9,9.7,0.076,5.6,0.67,34.8,661.5,Maïs
Sableux,7.2,222.9,45.7,0.295,9.5,0.72,36.4,660.3,Patate douce
Sableux,7.69,199.9,8.0,0.053,19.4,2.31,38.0,503.2,Patate douce
Sableux,7.55,189.2,50.7,0.12,17.1,0.37,39.0,734.3,Riz pluvial
Limonneux,5.95,253.2,47.7,0.26,10.3,0.79,30.8,521.9,Arachide
Salin,7.02,97.8,23.5,0.12,17.7,1.65,40.1,762.6,Maïs
Sableux,5.93,273.5,42.3,0.209,37.4,1.14,28.4,751.4,Niébé
Rocheux,5.83,209.7,35.4,0.151,28.6,0.72,38.9,614.5,Riz pluvial
Salin,7.81,146.6,6.1,0.275,27.5,2.04,31.2,684.0,Sésame
Limonneux,6.36,97.9,15.3,0.124,15.0,2.16,35.1,184.1,Sorgho
Sableux,6.58,71.8,48.1,0.061,20.2,0.35,44.5,378.1,Patate douce
Sableux,6.75,256.4,29.1,0.147,9.2,2.39,33.5,695.0,Niébé
Sableux,7.62,137.0,55.0,0.244,38.4,2.44,38.8,133.5,Niébé
Argileux,7.27,90.5,35.0,0.297,14.3,1.98,40.7,168.3,Patate douce
Sableux,7.32,279.1,59.9,0.141,9.3,0.17,27.5,452.4,Gombo
Sableux,5.71,121.4,52.9,0.054,16.4,0.72,41.4,567.7,Maïs
Argileux,7.18,109.2,30.7,0.026,9.1,0.78,31.8,380.5,Niébé
Salin,5.76,248.9,41.8,0.251,32.4,0.86,26.4,350.3,Mil
Limonneux,7.63,147.8,9.8,0.171,5.2,1.6,40.0,543.6,Patate douce
Argileux,5.88,164.2,9.7,0.287,26.4,1.65,30.8,298.3,Mil
Limonneux,7.57,270.2,49.3,0.291,12.5,1.15,39.0,319.0,Mil
Limonneux,7.15,228.8,26.4,0.207,7.0,1.82,31.8,758.8,Mil
Sableux,6.68,224.0,17.0,0.188,21.2,1.99,37.8,483.7,Maïs
Salin,6.89,207.9,28.0,0.116,17.7,2.19,30.7,283.4,Riz pluvial
Rocheux,7.96,101.3,41.2,0.167,34.4,2.22,41.9,734.0,Gombo
Rocheux,6.48,50.1,35.2,0.04,13.4,1.99,26.3,218.7,Mil
Salin,6.39,123.5,57.5,0.095,14.2,0.81,30.3,512.2,Manioc
Rocheux,7.84,91.7,42.5,0.172,39.4,0.45,41.8,534.6,Patate douce
Sableux,6.34,213.1,31.9,0.226,8.8,1.6,31.3,628.9,Sésame
Limonneux,7.03,143.7,37.3,0.115,17.6,2.29,26.7,493.1,Sorgho
Sableux,6.21,233.7,35.4,0.181,12.4,2.45,31.3,617.4,Sorgho
Argileux,6.25,270.9,39.7,0.243,35.8,1.09,34.2,517.0,Patate douce
Rocheux,7.27,58.7,43.1,0.076,33.0,0.83,41.5,110.8,Manioc
Salin,7.46,66.9,23.7,0.105,8.4,0.5,44.4,626.2,Manioc
Salin,7.59,279.8,34.3,0.13,37.3,1.32,28.5,403.7,Maïs
Rocheux,5.53,130.0,46.1,0.076,16.3,2.48,29.5,458.3,Maïs
Argileux,7.2,264.4,21.0,0.234,7.2,2.19,39.1,448.8,Niébé
Salin,7.86,215.7,24.5,0.085,15.3,0.89,43.4,608.6,Sésame
Sableux,6.96,237.4,42.2,0.167,32.9,1.57,27.7,403.3,Arachide
Limonneux,5.93,147.2,42.9,0.11,35.3,1.69,43.2,414.3,Niébé
Salin,6.61,205.8,53.7,0.026,29.2,0.18,42.0,667.1,Mil
Rocheux,6.16,91.5,28.7,0.262,22.2,1.18,38.2,796.5,Manioc
Limonneux,7.85,273.2,24.4,0.222,22.4,2.05,29.4,533.8,Sorgho
Limonneux,7.66,274.1,57.8,0.175,29.7,1.73,36.8,583.2,Arachide
Rocheux,6.37,243.2,49.2,0.027,7.1,1.58,35.4,260.8,Patate douce
Salin,7.26,226.8,21.5,0.295,14.6,2.42,26.3,714.5,Maïs
Salin,6.35,291.6,49.7,0.077,9.9,1.13,42.6,774.4,Gombo
Sableux,6.64,212.4,20.0,0.174,36.7,1.62,25.4,470.6,Riz pluvial
Rocheux,6.57,224.1,13.3,0.085,21.4,0.89,28.0,286.3,Maïs
Argileux,7.35,201.6,46.2,0.056,21.2,1.37,32.0,661.9,Niébé
Salin,6.06,219.1,37.7,0.209,39.0,0.78,31.8,217.1,Maïs
Salin,6.79,67.5,36.7,0.227,15.3,1.87,27.2,669.7,Riz pluvial
Argileux,6.89,57.7,18.0,0.246,13.2,0.52,28.9,276.6,Mil
Argileux,7.25,254.5,32.9,0.118,8.3,1.14,38.7,753.5,Maïs
Limonneux,5.92,220.4,23.5,0.287,9.1,1.51,27.4,270.0,Sésame
Sableux,7.59,72.2,31.4,0.075,38.9,0.87,26.5,632.6,Sorgho
Sableux,7.28,208.3,38.1,0.07,8.9,1.06,38.1,782.9,Patate douce
Limonneux,6.73,80.7,13.1,0.04,26.0,1.32,33.7,200.9,Mil
Salin,5.68,63.1,20.9,0.26,11.4,1.83,27.1,571.0,Niébé
Sableux,6.28,143.6,18.7,0.249,16.1,1.22,28.7,568.7,Arachide
Limonneux,6.85,233.7,6.1,0.086,23.5,1.61,44.4,238.2,Manioc
Argileux,6.01,125.3,59.4,0.234,23.0,0.92,31.3,683.2,Arachide
Salin,6.41,180.4,15.3,0.1,34.5,0.87,39.0,734.7,Patate douce
Limonneux,5.78,134.6,19.8,0.065,39.2,0.71,29.5,157.3,Manioc
Salin,6.37,247.8,51.0,0.195,6.5,0.44,31.0,322.7,Riz pluvial
Rocheux,7.63,131.6,16.9,0.203,11.7,0.66,35.3,761.5,Patate douce
Sableux,6.91,139.6,13.8,0.229,26.8,1.9,41.3,624.4,Mil
Limonneux,6.13,252.8,11.8,0.141,14.4,1.72,25.2,609.1,Gombo
Rocheux,6.5,57.7,30.4,0.165,36.1,2.24,25.1,724.8,Mil
Sableux,6.6,167.3,45.6,0.234,19.8,2.2,42.4,261.2,Patate douce
Limonneux,6.02,254.0,42.2,0.06,16.6,1.35,36.0,184.4,Mil
Limonneux,6.01,298.9,20.4,0.168,19.9,0.32,35.9,215.3,Sorgho
Rocheux,6.79,151.0,24.8,0.125,38.4,1.25,30.0,248.6,Patate douce
Salin,7.26,286.1,5.1,0.115,11.7,1.94,44.9,295.7,Sésame
Salin,7.62,123.3,6.8,0.295,6.3,0.25,28.3,148.2,Arachide
Rocheux,6.46,268.1,29.5,0.023,33.6,2.44,36.5,734.4,Gombo
Sableux,7.58,143.7,19.8,0.27,35.3,2.27,44.8,317.9,Arachide
Limonneux,5.88,191.0,20.8,0.243,23.8,1.18,32.8,658.9,Niébé
Argileux,6.66,157.8,49.3,0.253,22.8,2.44,37.5,215.3,Arachide
Sableux,7.07,152.3,32.8,0.021,23.9,1.16,32.0,553.1,Patate douce
Salin,7.46,84.0,42.7,0.111,24.8,0.84,32.2,195.1,Manioc
Argileux,7.63,288.7,46.6,0.295,17.5,2.04,35.5,407.9,Maïs
Sableux,6.77,175.2,6.2,0.136,14.1,2.04,26.0,500.8,Gombo
Argileux,7.91,263.6,15.3,0.081,10.7,1.59,31.6,460.3,Patate douce
Argileux,6.39,220.9,47.8,0.217,37.4,2.42,43.6,696.1,Patate douce
Salin,6.32,214.9,7.8,0.283,17.1,2.2,43.7,758.7,Riz pluvial
Limonneux,6.47,183.2,41.4,0.114,21.2,1.71,32.9,583.8,Manioc
Argileux,7.06,58.1,58.0,0.148,32.0,2.01,37.9,560.7,Arachide
Sableux,7.75,284.2,15.7,0.257,12.7,1.66,35.0,241.4,Mil
Salin,6.1,100.5,52.0,0.162,24.2,2.01,34.0,443.9,Maïs
Salin,7.93,259.6,46.9,0.181,24.7,2.21,32.3,405.9,Manioc
Sableux,6.19,190.1,51.1,0.137,36.5,1.72,39.2,539.7,Sorgho
Rocheux,5.97,295.5,18.9,0.035,5.6,0.82,36.5,541.4,Arachide
Rocheux,7.68,167.5,5.6,0.063,15.1,0.75,27.9,306.4,Mil
Salin,6.27,155.0,46.3,0.211,36.6,1.81,25.8,440.7,Niébé
Salin,6.98,50.7,11.9,0.024,35.7,1.87,30.8,191.3,Sorgho
Argileux,7.96,141.6,31.8,0.288,28.4,0.53,26.5,505.8,Gombo
Sableux,6.07,115.6,39.5,0.029,31.4,0.19,32.6,364.8,Gombo
Rocheux,5.54,277.3,35.6,0.049,35.4,1.15,27.1,308.2,Arachide
Salin,7.34,94.6,19.2,0.088,30.0,0.95,38.9,559.7,Maïs
Sableux,5.61,248.2,30.3,0.075,12.2,0.24,32.7,483.7,Patate douce
Limonneux,7.06,140.9,48.7,0.253,31.3,2.2,25.3,304.2,Sorgho
Limonneux,7.35,93.9,18.4,0.145,7.7,2.33,29.5,526.4,Sésame
Salin,6.11,247.6,22.6,0.072,32.3,0.15,28.9,326.2,Manioc
Argileux,7.16,55.5,27.1,0.173,11.8,1.18,25.8,231.3,Mil
Argileux,5.86,242.5,11.2,0.2,15.0,1.65,35.3,608.4,Patate douce
Sableux,6.09,202.1,45.2,0.268,33.9,1.24,30.6,435.6,Sorgho
Argileux,6.24,297.0,19.7,0.175,20.4,0.99,35.6,261.8,Sorgho
Sableux,6.82,286.3,17.5,0.045,30.5,0.72,27.3,479.7,Sorgho
Rocheux,7.18,55.9,57.4,0.264,17.8,2.34,27.8,474.0,Maïs
Argileux,6.86,53.3,5.3,0.114,11.9,1.14,44.2,164.0,Manioc
Sableux,7.35,285.8,11.4,0.138,6.3,2.32,26.4,753.6,Arachide
Sableux,5.75,174.1,59.9,0.203,37.5,2.37,41.9,751.3,Patate douce
Limonneux,7.84,137.5,21.6,0.278,14.6,0.15,36.1,595.1,Maïs
Salin,6.93,157.5,17.6,0.104,8.0,0.85,35.6,475.4,Mil
Argileux,6.09,116.7,5.8,0.175,11.6,1.6,29.6,496.8,Sésame
Rocheux,6.26,201.1,7.5,0.092,13.9,0.38,38.1,352.0,Niébé
Limonneux,6.01,51.1,5.6,0.279,5.6,0.55,41.3,357.2,Sésame
Sableux,7.92,139.6,19.7,0.171,24.5,2.08,29.4,727.6,Riz pluvial
Sableux,5.72,224.6,16.9,0.025,29.6,1.18,26.4,778.1,Manioc
Salin,7.71,110.1,29.0,0.233,31.6,0.79,33.1,554.1,Patate douce
Rocheux,7.01,267.8,22.5,0.083,31.5,0.94,34.2,722.3,Sorgho
Rocheux,7.26,51.3,13.6,0.074,21.9,1.98,43.5,462.1,Riz pluvial
Argileux,7.49,151.5,35.3,0.194,31.9,1.13,40.1,723.1,Arachide
Argileux,5.99,85.4,25.9,0.121,19.2,1.72,25.0,271.7,Sésame
Rocheux,6.11,267.6,23.1,0.089,37.4,0.23,29.1,778.6,Maïs
Limonneux,6.24,236.5,24.8,0.251,12.6,1.73,44.3,281.6,Arachide
Rocheux,7.2,175.3,11.4,0.185,12.3,1.78,32.4,425.4,Riz pluvial
Limonneux,6.7,240.6,30.5,0.135,36.8,2.13,25.6,236.0,Sésame
Rocheux,6.7,106.8,40.5,0.152,28.7,0.67,42.1,598.2,Sorgho
Argileux,7.65,92.6,22.6,0.217,35.0,1.34,44.2,716.5,Riz pluvial
Sableux,6.69,213.5,31.7,0.079,38.9,0.77,43.0,747.5,Sésame
Limonneux,6.19,135.9,43.4,0.118,10.2,1.67,40.9,157.7,Mil
Salin,7.64,78.1,44.8,0.265,28.7,0.91,34.7,286.0,Maïs
Rocheux,6.2,73.7,57.2,0.24,26.3,1.75,43.2,502.3,Riz pluvial
Sableux,6.66,133.7,38.8,0.14,11.4,1.67,28.5,402.2,Manioc
Limonneux,7.62,115.4,56.5,0.254,23.0,2.18,26.3,738.0,Mil
Limonneux,5.86,226.0,59.1,0.175,33.4,1.45,41.1,648.4,Riz pluvial
Limonneux,7.33,135.6,53.7,0.221,14.0,1.05,31.4,115.3,Patate douce
Rocheux,5.51,196.5,30.5,0.235,24.4,1.81,25.3,660.9,Niébé
Argileux,7.59,259.6,17.0,0.11,9.6,1.0,28.4,654.4,Gombo
Salin,5.86,162.8,36.5,0.047,17.4,1.69,37.8,709.2,Niébé
Limonneux,5.83,269.8,49.8,0.095,33.4,2.09,26.1,792.4,Arachide
Salin,6.09,89.3,42.6,0.294,21.8,1.24,33.3,685.3,Manioc
Sableux,7.35,110.0,59.6,0.264,36.5,0.21,32.1,301.1,Maïs
Limonneux,6.08,235.8,34.8,0.204,31.1,2.4,30.1,705.3,Maïs
Limonneux,7.36,293.4,11.4,0.178,35.9,1.73,25.4,463.8,Mil
Sableux,6.61,152.4,51.2,0.261,13.3,1.5,32.6,215.6,Niébé
Limonneux,7.28,221.9,54.8,0.237,36.2,0.13,36.0,788.7,Maïs
Argileux,5.81,167.6,27.4,0.122,18.3,1.08,38.7,208.9,Riz pluvial
Argileux,6.92,121.3,37.6,0.206,17.6,0.78,37.6,101.7,Gombo
Argileux,5.86,193.5,31.1,0.109,32.9,0.59,41.9,748.2,Patate douce
Argileux,7.88,159.6,44.3,0.177,30.4,1.3,35.6,446.3,Arachide
