soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease
Plinthosol,5.43,30.2,18.5,0.241,14.4,195.6,0.0216,10.6,0.987,Rhizoctonia root rot
Plinthosol,5.84,31.8,27.8,0.81,12.1,97.8,0.0475,3.0,1.253,Charcoal rot
Arenosol,5.99,43.0,12.0,0.307,7.8,107.9,0.022,8.9,1.041,Rhizoctonia root rot
Plinthosol,5.66,42.7,18.4,0.669,19.1,93.3,0.0237,4.5,1.069,Charcoal rot
Arenosol,5.85,30.3,38.9,0.302,12.7,177.5,0.0305,14.6,1.154,Root-knot nematodes
Plinthosol,6.63,29.5,35.2,0.476,12.8,190.1,0.0365,4.5,1.06,Root-knot nematodes
Arenosol,5.74,29.6,13.1,0.63,7.2,78.4,0.0396,14.8,1.297,Fusarium wilt
Arenosol,6.41,43.0,27.0,0.753,18.7,168.7,0.0469,13.5,1.346,Pythium damping-off
Plinthosol,5.78,33.0,38.9,0.866,12.3,164.4,0.026,9.0,1.214,Root-knot nematodes
Arenosol,6.35,40.3,39.6,0.471,7.4,196.4,0.028,12.2,1.138,Rhizoctonia root rot
Arenosol,6.48,39.3,18.1,0.642,8.7,110.0,0.0227,14.4,1.174,Fusarium wilt
Arenosol,6.19,29.6,16.7,0.719,9.1,181.5,0.0283,5.9,1.144,Rhizoctonia root rot
Plinthosol,5.74,35.9,22.6,0.447,7.7,137.5,0.0227,8.1,1.052,Charcoal rot
Lixisol,6.78,44.9,39.4,0.439,18.8,54.1,0.0267,6.1,0.995,Pythium damping-off
Regosol,5.82,40.9,14.1,0.661,11.1,84.1,0.0388,11.9,1.272,Fusarium wilt
Arenosol,6.55,35.0,30.0,0.888,7.3,112.9,0.0461,9.2,1.31,Rhizoctonia root rot
Lixisol,5.0,42.9,39.2,0.652,8.1,117.3,0.0256,12.6,1.118,Charcoal rot
Arenosol,5.13,42.5,29.2,0.264,17.2,79.3,0.0298,8.9,0.99,Rhizoctonia root rot
Lixisol,6.07,44.8,28.8,0.818,16.9,118.0,0.0223,5.6,1.147,Fusarium wilt
Arenosol,5.82,31.3,36.4,0.238,12.1,108.0,0.0434,8.1,1.122,Pythium damping-off
Arenosol,5.97,31.5,36.1,0.227,7.4,59.0,0.0331,14.5,1.157,Fusarium wilt
Regosol,5.73,29.2,25.4,0.604,17.8,119.4,0.0397,14.3,1.283,Root-knot nematodes
Lixisol,5.61,37.9,12.6,0.87,7.7,85.8,0.0262,13.4,1.258,Rhizoctonia root rot
Arenosol,5.99,43.4,27.2,0.93,12.8,70.2,0.0446,3.3,1.29,Fusarium wilt
Lixisol,5.39,39.7,21.6,0.698,17.9,151.8,0.0301,7.4,1.128,Root-knot nematodes
Lixisol,6.13,38.6,16.9,0.226,16.8,162.5,0.0252,4.1,0.962,Fusarium wilt
Arenosol,5.75,42.9,19.5,0.338,17.2,143.5,0.0304,4.5,1.018,Charcoal rot
Lixisol,7.0,41.6,18.9,0.869,5.3,85.7,0.0407,10.4,1.243,Fusarium wilt
Lixisol,6.35,39.0,29.2,0.71,6.2,51.2,0.0251,9.9,1.161,Fusarium wilt
Arenosol,6.23,32.1,30.0,0.423,12.3,66.5,0.0302,6.3,1.069,Fusarium wilt
Lixisol,5.83,39.8,32.0,0.573,11.8,140.7,0.0298,14.7,1.229,Pythium damping-off
Arenosol,6.46,33.2,10.5,0.294,14.7,173.1,0.0461,6.1,1.1,Rhizoctonia root rot
Arenosol,5.83,32.6,28.8,0.293,13.2,163.5,0.0384,6.8,1.092,Root-knot nematodes
Plinthosol,5.61,31.0,29.6,0.427,15.5,93.5,0.0261,11.3,1.097,Pythium damping-off
Arenosol,5.27,31.1,10.3,0.257,19.3,147.7,0.045,5.6,1.049,Root-knot nematodes
Lixisol,6.13,35.3,34.9,0.398,7.2,99.8,0.0222,4.4,0.999,Charcoal rot
Arenosol,6.48,32.2,19.4,0.238,9.9,144.9,0.0206,7.4,0.946,Pythium damping-off
Plinthosol,6.25,41.5,11.7,0.446,16.2,123.7,0.0473,3.4,1.138,Rhizoctonia root rot
Lixisol,5.92,42.5,18.1,0.27,17.4,149.2,0.0308,3.3,1.002,Pythium damping-off
Arenosol,5.41,44.8,30.2,0.479,19.4,69.5,0.0268,13.1,1.12,Root-knot nematodes
Plinthosol,5.47,36.4,20.0,0.963,8.4,148.3,0.0239,14.3,1.27,Root-knot nematodes
Plinthosol,5.13,39.6,10.6,0.37,13.8,50.7,0.0203,11.7,1.001,Charcoal rot
Arenosol,5.81,44.1,18.8,0.891,8.6,110.4,0.0426,3.8,1.256,Pythium damping-off
Vertisol,5.11,41.6,12.1,0.694,10.4,84.7,0.0212,10.1,1.081,Fusarium wilt
Arenosol,6.78,40.8,23.9,0.29,5.9,176.4,0.0275,12.5,1.04,Charcoal rot
Regosol,6.27,38.9,10.3,0.552,8.4,109.1,0.0429,14.5,1.289,Fusarium wilt
Lixisol,6.06,38.7,34.4,0.781,6.3,133.0,0.0389,10.3,1.298,Charcoal rot
Arenosol,6.41,33.5,19.2,0.358,8.4,74.4,0.0399,5.7,1.082,Rhizoctonia root rot
Arenosol,7.0,36.2,20.5,0.337,8.1,63.0,0.0224,5.1,0.903,Fusarium wilt
Lixisol,5.84,28.2,14.3,0.531,10.4,91.9,0.0221,8.3,1.086,Charcoal rot
Lixisol,5.9,30.6,36.2,0.992,18.9,88.2,0.0353,11.3,1.351,Rhizoctonia root rot
Plinthosol,6.71,39.6,25.5,0.656,18.5,55.3,0.0486,6.3,1.201,Root-knot nematodes
Plinthosol,5.82,36.8,17.1,0.629,12.1,145.4,0.0459,8.5,1.259,Fusarium wilt
Arenosol,6.08,44.9,31.6,0.88,5.2,155.1,0.0278,8.6,1.237,Pythium damping-off
Arenosol,5.69,40.8,10.5,0.303,12.0,68.1,0.0456,3.3,1.077,Pythium damping-off
Vertisol,5.96,35.6,35.2,0.836,12.4,114.2,0.0393,8.1,1.291,Fusarium wilt
Arenosol,6.59,36.0,22.0,0.283,8.5,198.6,0.0233,7.9,0.971,Charcoal rot
Arenosol,5.9,33.7,26.0,0.523,6.8,50.5,0.0215,8.5,1.09,Charcoal rot
Arenosol,5.42,40.4,26.3,0.818,19.3,182.1,0.024,8.2,1.141,Pythium damping-off
Regosol,6.2,36.6,10.5,0.928,8.1,59.0,0.034,4.4,1.221,Fusarium wilt
Regosol,6.71,34.1,28.2,0.569,10.4,149.0,0.0493,9.3,1.22,Fusarium wilt
Lixisol,6.18,28.1,19.4,0.603,19.8,174.7,0.0266,5.1,1.09,Pythium damping-off
Lixisol,5.92,41.6,30.6,0.738,17.0,115.9,0.0451,13.2,1.36,Root-knot nematodes
Arenosol,6.45,40.8,30.1,0.899,16.4,62.6,0.0207,14.8,1.246,Pythium damping-off
Arenosol,5.91,29.5,31.5,0.216,13.2,103.2,0.0211,9.6,1.01,Root-knot nematodes
Lixisol,5.41,42.2,35.3,0.919,16.4,114.8,0.0334,8.7,1.233,Pythium damping-off
Arenosol,5.97,35.6,13.6,0.331,13.9,144.1,0.0266,7.9,1.062,Charcoal rot
Regosol,5.4,33.8,37.2,0.619,18.7,58.3,0.0265,10.8,1.129,Rhizoctonia root rot
Lixisol,6.18,39.1,34.5,0.623,14.3,128.0,0.0412,6.0,1.197,Pythium damping-off
Lixisol,5.43,30.0,25.3,0.919,19.5,59.5,0.0201,9.5,1.167,Rhizoctonia root rot
Plinthosol,5.77,30.6,16.7,0.389,13.2,56.1,0.0358,6.4,1.094,Fusarium wilt
Arenosol,6.0,44.2,39.5,0.998,6.5,115.1,0.0227,11.2,1.285,Fusarium wilt
Arenosol,5.66,43.8,19.2,0.515,18.3,181.6,0.0237,10.4,1.102,Pythium damping-off
Arenosol,7.0,37.8,28.8,0.246,11.7,66.9,0.0471,12.2,1.119,Charcoal rot
Arenosol,5.04,30.8,32.4,0.981,9.0,70.2,0.0319,13.8,1.274,Fusarium wilt
Lixisol,5.51,42.1,11.5,0.813,12.7,143.8,0.038,7.2,1.219,Fusarium wilt
Arenosol,6.22,35.5,38.6,0.92,7.3,191.2,0.0428,8.2,1.32,Rhizoctonia root rot
Regosol,6.25,44.5,20.9,0.994,12.5,62.1,0.0201,6.0,1.174,Rhizoctonia root rot
Arenosol,5.95,28.7,33.6,0.665,17.8,177.0,0.0237,7.2,1.133,Fusarium wilt
Plinthosol,6.18,38.2,29.9,0.438,13.6,120.4,0.0432,4.0,1.127,Root-knot nematodes
Arenosol,5.96,45.0,11.3,0.998,15.6,101.4,0.0269,12.3,1.321,Root-knot nematodes
Lixisol,6.71,30.1,26.4,0.847,17.3,142.0,0.0379,5.6,1.185,Root-knot nematodes
Regosol,6.27,29.7,27.5,0.749,14.3,180.3,0.0348,3.6,1.154,Rhizoctonia root rot
Plinthosol,5.3,28.1,22.4,0.929,13.7,66.8,0.0344,14.7,1.312,Root-knot nematodes
Arenosol,6.37,38.5,30.8,0.597,14.5,73.7,0.0375,12.4,1.232,Rhizoctonia root rot
Plinthosol,6.26,30.2,35.9,0.378,15.4,134.6,0.034,10.7,1.135,Rhizoctonia root rot
Vertisol,5.91,41.0,24.2,0.269,19.8,104.8,0.0444,15.0,1.238,Charcoal rot
Plinthosol,7.0,36.9,38.0,0.455,13.0,166.6,0.0443,3.9,1.054,Rhizoctonia root rot
Lixisol,6.26,34.3,24.8,0.564,17.3,137.3,0.0278,12.1,1.172,Rhizoctonia root rot
Arenosol,6.93,41.6,19.2,0.663,8.7,185.5,0.0202,14.2,1.117,Root-knot nematodes
Arenosol,6.07,30.0,26.4,0.848,17.4,193.3,0.0357,10.1,1.296,Pythium damping-off
Arenosol,5.85,30.0,35.6,0.759,16.3,137.5,0.05,8.3,1.323,Charcoal rot
Arenosol,6.58,29.7,19.2,0.739,12.1,112.6,0.0403,13.6,1.286,Pythium damping-off
Arenosol,5.0,34.2,35.5,0.324,19.9,131.2,0.0287,10.7,1.012,Pythium damping-off
Arenosol,6.58,29.9,28.1,0.597,18.1,141.5,0.0204,11.8,1.101,Charcoal rot
Lixisol,6.88,44.8,19.8,0.621,6.1,58.3,0.0217,7.7,1.032,Rhizoctonia root rot
Regosol,5.57,39.0,20.4,0.998,5.9,113.4,0.0263,6.0,1.195,Fusarium wilt
Arenosol,6.4,28.4,36.4,0.91,9.8,74.3,0.036,13.4,1.327,Rhizoctonia root rot
Regosol,5.76,43.5,11.1,0.605,14.1,107.2,0.0278,9.6,1.152,Charcoal rot
Arenosol,6.81,36.6,39.0,0.581,16.2,110.9,0.0257,3.1,0.989,Fusarium wilt
Vertisol,5.36,34.7,37.5,0.888,19.1,159.2,0.0363,7.2,1.216,Charcoal rot
Arenosol,6.38,45.0,14.7,0.719,14.6,169.0,0.027,8.0,1.147,Rhizoctonia root rot
Regosol,5.64,39.5,28.0,0.998,12.6,60.9,0.0247,10.1,1.246,Pythium damping-off
Plinthosol,5.77,28.8,13.1,0.57,12.7,130.7,0.0491,11.4,1.293,Fusarium wilt
Arenosol,5.19,43.3,23.2,0.573,13.2,192.0,0.0396,11.9,1.186,Rhizoctonia root rot
Arenosol,5.11,35.7,39.7,0.582,8.9,180.6,0.0458,11.1,1.209,Pythium damping-off
Vertisol,6.34,35.8,17.6,0.843,16.9,140.5,0.0494,3.6,1.264,Rhizoctonia root rot
Lixisol,5.61,39.7,10.7,0.726,10.8,74.6,0.0387,14.5,1.304,Fusarium wilt
Arenosol,6.17,31.1,15.2,0.468,16.2,112.9,0.0393,13.9,1.245,Fusarium wilt
Arenosol,5.33,28.9,19.6,0.215,12.7,125.9,0.0359,12.7,1.082,Pythium damping-off
Arenosol,6.1,43.8,39.7,0.478,17.7,73.6,0.0307,14.9,1.217,Rhizoctonia root rot
Lixisol,6.37,40.8,34.4,0.592,9.2,147.2,0.0288,12.5,1.18,Fusarium wilt
Vertisol,6.59,37.0,31.1,0.67,5.0,51.8,0.0376,14.7,1.263,Root-knot nematodes
Regosol,6.1,42.6,17.8,0.682,14.8,90.9,0.0425,13.5,1.33,Rhizoctonia root rot
Plinthosol,5.99,28.4,37.0,0.666,9.8,109.7,0.0287,7.8,1.175,Root-knot nematodes
Plinthosol,5.82,28.4,21.3,0.555,18.6,118.8,0.0357,6.7,1.153,Charcoal rot
Arenosol,5.94,31.6,38.6,0.636,9.5,75.7,0.0391,11.7,1.275,Pythium damping-off
Arenosol,6.13,28.7,19.4,0.734,7.2,150.9,0.0315,14.9,1.295,Pythium damping-off
Vertisol,5.54,31.5,20.2,0.228,16.1,131.7,0.0429,3.9,1.032,Root-knot nematodes
Vertisol,5.4,44.8,29.8,0.66,7.2,90.9,0.0378,14.3,1.256,Root-knot nematodes
Vertisol,5.74,43.6,17.0,0.959,12.5,149.4,0.0226,8.8,1.214,Pythium damping-off
Lixisol,5.51,37.8,28.0,0.377,12.3,60.7,0.0327,5.6,1.035,Pythium damping-off
Arenosol,6.4,42.2,21.4,0.977,19.1,140.8,0.0206,5.0,1.144,Charcoal rot
Vertisol,6.07,39.4,38.4,0.338,12.8,188.1,0.0379,6.2,1.104,Pythium damping-off
Arenosol,5.59,37.1,19.2,0.876,6.1,95.0,0.0385,9.9,1.285,Fusarium wilt
Arenosol,5.99,32.9,18.2,0.596,11.2,143.1,0.0314,13.5,1.246,Fusarium wilt
Arenosol,6.08,40.0,32.3,0.203,9.4,133.4,0.0219,11.4,1.036,Pythium damping-off
Arenosol,6.5,36.6,21.1,0.658,11.2,98.0,0.0353,9.2,1.182,Pythium damping-off
Arenosol,5.62,44.7,31.6,0.748,17.4,154.4,0.0391,7.6,1.222,Root-knot nematodes
Arenosol,6.6,38.7,38.8,0.926,5.1,103.7,0.0418,5.0,1.235,Fusarium wilt
Plinthosol,6.42,43.2,18.5,0.581,7.5,117.0,0.0237,13.0,1.148,Charcoal rot
Arenosol,5.37,29.4,15.7,0.839,14.8,120.9,0.0432,11.0,1.294,Charcoal rot
Lixisol,6.22,33.1,26.3,0.453,6.6,168.6,0.0301,14.4,1.186,Root-knot nematodes
Lixisol,5.56,29.3,26.7,0.297,7.6,188.1,0.0317,10.5,1.075,Root-knot nematodes
Vertisol,5.52,29.6,16.3,0.367,19.2,148.4,0.0341,12.1,1.128,Rhizoctonia root rot
Plinthosol,6.4,35.8,11.3,0.846,17.8,196.4,0.0216,4.3,1.1,Charcoal rot
Arenosol,6.23,36.1,30.3,0.471,19.5,100.8,0.0443,3.4,1.129,Charcoal rot
Plinthosol,6.33,41.1,37.8,0.261,12.4,171.9,0.0469,10.3,1.164,Fusarium wilt
Plinthosol,5.54,34.9,32.7,0.483,13.5,103.0,0.0449,7.1,1.164,Pythium damping-off
Regosol,5.0,43.4,37.3,0.691,5.4,74.1,0.0237,7.0,1.042,Root-knot nematodes
Arenosol,5.88,39.6,18.8,0.362,13.1,131.9,0.0267,12.4,1.122,Charcoal rot
Arenosol,5.89,43.1,31.4,0.408,13.3,96.2,0.0203,13.5,1.113,Fusarium wilt
Regosol,5.57,37.7,21.3,0.726,17.6,163.9,0.032,5.9,1.146,Fusarium wilt
Arenosol,5.63,29.9,24.9,0.471,17.6,151.6,0.0372,5.7,1.103,Root-knot nematodes
Lixisol,6.26,32.5,36.0,0.783,13.6,136.8,0.021,9.4,1.161,Root-knot nematodes
Arenosol,6.09,32.1,25.4,0.744,9.2,182.7,0.0402,13.0,1.328,Pythium damping-off
Arenosol,5.83,35.4,30.2,0.795,7.7,164.3,0.0403,13.0,1.337,Rhizoctonia root rot
Arenosol,6.09,37.2,29.2,0.55,13.7,177.1,0.03,7.7,1.139,Pythium damping-off
Regosol,5.97,41.5,17.4,0.876,14.9,97.5,0.035,7.7,1.273,Rhizoctonia root rot
Plinthosol,6.37,30.1,33.1,0.758,19.5,126.3,0.0336,10.2,1.228,Rhizoctonia root rot
Lixisol,6.35,44.6,12.4,0.321,8.9,77.0,0.048,9.3,1.174,Pythium damping-off
Regosol,6.25,30.0,12.6,0.435,18.4,118.8,0.0433,14.2,1.255,Rhizoctonia root rot
Regosol,6.63,37.8,32.6,0.547,19.0,183.8,0.0289,4.6,1.036,Fusarium wilt
Arenosol,6.81,32.0,20.6,0.48,11.7,109.1,0.0479,7.7,1.153,Root-knot nematodes
Lixisol,5.35,29.7,13.6,0.719,17.9,171.7,0.046,3.4,1.173,Fusarium wilt
Arenosol,6.44,44.1,36.8,0.409,10.4,89.1,0.049,8.4,1.185,Fusarium wilt
Vertisol,7.0,41.6,39.2,0.63,10.2,106.1,0.0389,6.4,1.108,Root-knot nematodes
Lixisol,6.68,37.0,12.8,0.245,11.2,164.7,0.0331,4.3,0.961,Fusarium wilt
Arenosol,5.81,33.0,28.5,0.548,11.1,117.8,0.0315,5.7,1.111,Rhizoctonia root rot
Lixisol,5.67,34.1,25.8,0.414,18.8,82.6,0.0417,5.9,1.12,Fusarium wilt
Arenosol,6.26,40.1,16.7,0.958,17.4,71.3,0.043,4.7,1.282,Pythium damping-off
Lixisol,6.41,34.0,27.2,0.658,8.9,173.5,0.0369,13.8,1.262,Root-knot nematodes
Regosol,6.53,35.4,27.0,0.845,15.1,57.0,0.0496,11.9,1.357,Pythium damping-off
Plinthosol,6.6,41.6,34.9,0.465,19.5,175.6,0.0436,14.3,1.231,Root-knot nematodes
Lixisol,5.8,37.7,17.4,0.429,12.7,187.4,0.0461,13.0,1.258,Rhizoctonia root rot
Arenosol,6.12,28.0,31.6,0.821,10.6,198.4,0.0435,7.2,1.291,Pythium damping-off
Plinthosol,6.46,37.8,39.4,0.26,14.0,93.6,0.0442,10.7,1.139,Charcoal rot
Arenosol,5.98,43.0,20.3,0.862,19.8,194.7,0.025,11.8,1.265,Root-knot nematodes
Plinthosol,5.82,37.1,15.0,0.493,7.9,107.5,0.0208,4.7,1.018,Fusarium wilt
Arenosol,6.18,29.0,39.8,0.893,17.3,121.7,0.0418,7.3,1.299,Rhizoctonia root rot
Arenosol,5.94,43.4,16.1,0.69,15.6,129.9,0.0424,14.9,1.354,Fusarium wilt
Plinthosol,6.45,42.1,22.9,0.308,7.7,111.1,0.0423,5.7,1.077,Fusarium wilt
Lixisol,6.34,44.8,17.6,0.347,14.0,111.1,0.0333,8.2,1.079,Rhizoctonia root rot
Arenosol,5.75,40.8,32.0,0.206,10.9,92.9,0.0237,5.0,0.946,Charcoal rot
Arenosol,5.26,44.3,19.7,0.288,12.0,179.6,0.0433,11.8,1.129,Fusarium wilt
Arenosol,5.39,43.2,29.8,0.612,18.8,153.7,0.0345,12.6,1.198,Charcoal rot
Regosol,6.69,32.7,17.6,0.62,8.0,129.1,0.0257,13.5,1.152,Rhizoctonia root rot
Arenosol,6.46,38.1,39.2,0.501,9.5,96.2,0.0336,13.8,1.19,Pythium damping-off
Arenosol,6.3,42.3,32.6,0.789,14.7,174.2,0.0327,4.5,1.162,Pythium damping-off
Arenosol,5.27,44.6,11.8,0.766,14.3,119.2,0.0445,9.9,1.255,Pythium damping-off
Plinthosol,6.24,33.6,11.8,0.48,5.1,156.8,0.048,4.4,1.167,Fusarium wilt
Plinthosol,6.7,34.9,14.4,0.555,7.2,113.1,0.0466,11.9,1.234,Fusarium wilt
Arenosol,5.49,42.1,32.9,0.566,15.0,84.6,0.0397,6.3,1.141,Fusarium wilt
Arenosol,5.93,37.9,39.2,0.622,12.9,172.1,0.0281,9.0,1.168,Root-knot nematodes
Lixisol,6.57,33.3,22.2,0.22,9.9,151.6,0.0415,5.3,1.028,Rhizoctonia root rot
Arenosol,5.91,34.5,39.7,0.752,15.2,87.2,0.022,14.6,1.244,Rhizoctonia root rot
Lixisol,7.0,37.2,27.8,0.448,12.7,58.4,0.0344,5.9,1.019,Charcoal rot
Arenosol,6.47,40.1,26.5,0.919,17.2,153.7,0.0279,9.6,1.223,Pythium damping-off
Plinthosol,5.82,39.4,24.0,0.507,17.9,88.0,0.0272,5.0,1.064,Rhizoctonia root rot
Arenosol,6.67,33.2,32.5,0.494,18.0,187.2,0.0259,3.6,0.984,Rhizoctonia root rot
Plinthosol,5.58,34.4,10.4,0.944,19.2,113.6,0.0322,14.6,1.328,Root-knot nematodes
Arenosol,6.49,40.2,26.3,0.382,14.6,80.3,0.0402,14.2,1.197,Fusarium wilt
Arenosol,6.57,37.9,31.2,0.441,16.9,116.3,0.0419,10.4,1.165,Pythium damping-off
Arenosol,6.57,45.0,19.8,0.547,19.6,118.1,0.0324,7.6,1.102,Pythium damping-off
Arenosol,6.21,28.5,24.2,0.488,13.0,99.8,0.0316,14.8,1.212,Root-knot nematodes
Plinthosol,5.57,44.0,20.3,0.53,10.9,183.0,0.0389,15.0,1.249,Fusarium wilt
Arenosol,6.09,39.8,26.7,0.267,5.2,173.4,0.021,5.1,0.965,Charcoal rot
Arenosol,5.37,44.9,18.5,0.364,13.2,173.2,0.0419,4.2,1.053,Pythium damping-off
Arenosol,5.69,29.5,39.6,0.569,14.1,116.8,0.0376,6.6,1.153,Pythium damping-off
Arenosol,6.08,44.4,26.5,0.478,18.6,157.1,0.0423,10.9,1.234,Rhizoctonia root rot
Arenosol,6.13,28.2,22.0,0.619,14.0,194.6,0.0342,6.1,1.16,Root-knot nematodes
Arenosol,5.71,43.6,31.2,0.234,19.2,82.8,0.0416,3.5,1.037,Charcoal rot
Arenosol,6.29,44.6,15.1,0.79,14.7,110.0,0.0222,12.0,1.201,Rhizoctonia root rot
Regosol,5.86,30.3,30.3,0.976,10.3,160.7,0.0471,9.3,1.385,Root-knot nematodes
Lixisol,6.21,36.0,35.5,0.778,11.1,186.8,0.021,13.9,1.224,Charcoal rot
Lixisol,5.36,36.2,23.9,0.598,13.7,172.6,0.0323,9.0,1.129,Root-knot nematodes
Arenosol,5.95,32.2,16.1,0.816,15.4,65.0,0.0467,3.2,1.263,Fusarium wilt
Lixisol,6.36,36.2,22.7,0.423,15.4,154.6,0.0202,3.9,0.963,Root-knot nematodes
Arenosol,5.82,38.9,15.8,0.557,14.3,65.7,0.0423,11.1,1.251,Fusarium wilt
Lixisol,6.22,43.5,19.9,0.988,13.0,192.9,0.0361,12.9,1.363,Fusarium wilt
Arenosol,5.35,44.2,17.1,0.818,19.9,148.9,0.048,6.2,1.252,Fusarium wilt
Arenosol,5.54,42.8,38.7,0.713,19.1,174.7,0.0417,12.7,1.288,Pythium damping-off
Arenosol,5.81,40.6,36.5,0.402,13.6,56.1,0.0253,8.5,1.066,Fusarium wilt
Arenosol,5.62,30.7,24.2,0.966,5.0,55.8,0.0346,6.7,1.248,Root-knot nematodes
Plinthosol,6.01,40.4,30.0,0.237,9.5,111.5,0.0304,13.8,1.137,Pythium damping-off
Arenosol,6.38,34.5,32.1,0.844,17.7,186.7,0.031,13.4,1.28,Pythium damping-off
Arenosol,6.97,32.3,16.2,0.213,15.5,143.6,0.0404,6.3,0.994,Fusarium wilt
Arenosol,5.42,32.8,31.4,0.665,8.0,168.6,0.0254,3.2,1.037,Pythium damping-off
Lixisol,6.22,34.1,11.2,0.399,16.8,145.4,0.0479,6.6,1.173,Fusarium wilt
Arenosol,6.36,31.6,39.8,0.613,6.0,168.0,0.0374,9.0,1.192,Root-knot nematodes
Plinthosol,6.58,31.2,36.1,0.616,19.8,198.9,0.0253,3.6,1.027,Root-knot nematodes
Lixisol,6.09,40.5,28.0,0.35,5.5,155.2,0.0404,11.8,1.197,Charcoal rot
Arenosol,6.21,34.6,26.5,0.831,11.1,108.4,0.0371,10.0,1.285,Fusarium wilt
Arenosol,5.44,36.5,24.5,0.624,17.8,149.9,0.0448,4.3,1.158,Root-knot nematodes
Arenosol,5.99,44.6,30.4,0.33,16.3,64.8,0.0443,5.6,1.139,Charcoal rot
Arenosol,6.08,33.7,30.8,0.38,19.7,104.5,0.033,10.5,1.144,Pythium damping-off
Lixisol,6.01,31.7,21.1,0.235,5.5,84.8,0.0425,8.1,1.133,Fusarium wilt
Arenosol,6.56,30.6,10.6,0.929,15.5,161.9,0.0321,7.3,1.213,Rhizoctonia root rot
Plinthosol,6.29,36.1,22.1,0.549,11.2,58.0,0.0234,6.0,1.056,Fusarium wilt
Lixisol,5.42,41.6,30.3,0.481,7.0,131.5,0.0224,12.7,1.089,Rhizoctonia root rot
Lixisol,5.84,38.2,39.7,0.229,9.4,171.0,0.0348,3.2,1.004,Pythium damping-off
Regosol,7.0,31.6,32.9,0.255,9.4,96.1,0.0238,8.8,0.937,Pythium damping-off
