pH,N,P,K,humidite,texture_du_sol,culture
5.95,50.16,21.66,96.94,22.43,sablo-argileux,sorgho
5.02,48.53,27.95,135.9,36.27,limoneux,riz
5.83,64.89,41.33,121.67,41.51,argileux,riz
5.82,70.44,29.06,113.04,54.45,argileux,riz
6.16,39.43,26.43,117.0,19.97,limono-argileux,sorgho
6.03,34.38,25.21,87.25,22.68,sableux,arachide
5.5,39.59,19.59,78.46,11.72,sableux,mil
6.98,30.97,21.37,65.73,19.81,sableux,niebe
6.44,46.59,25.75,123.82,19.19,sablo-argileux,sorgho
6.75,26.04,29.21,86.28,21.92,sableux,arachide
5.07,57.11,25.71,83.89,43.92,argileux,riz
6.59,37.4,15.67,88.15,19.65,sableux,niebe
6.6,25.89,17.68,57.76,15.32,sablo-limoneux,arachide
6.69,16.84,17.17,46.9,23.32,sablo-limoneux,arachide
6.8,32.7,37.97,112.24,28.22,sablo-argileux,sorgho
5.81,31.8,19.96,114.98,27.94,sableux,mil
7.18,30.32,35.2,108.69,18.27,limono-argileux,sorgho
5.84,40.69,29.66,144.21,59.06,limoneux,riz
6.24,26.05,14.49,51.39,19.66,sableux,niebe
6.7,43.38,22.75,126.11,33.1,sablo-argileux,sorgho
7.05,45.75,25.41,95.14,30.33,limono-argileux,sorgho
6.55,25.36,16.91,50.69,23.91,sableux,niebe
6.36,57.9,25.49,72.39,54.48,argileux,riz
5.84,18.71,25.97,61.01,17.18,sableux,arachide
5.86,59.25,24.39,109.78,27.53,sablo-argileux,sorgho
7.16,37.18,31.73,85.54,25.17,limono-argileux,sorgho
5.86,55.92,36.51,127.58,39.99,argileux,riz
6.35,38.78,24.15,125.74,20.71,limono-argileux,sorgho
6.81,37.39,14.86,74.77,22.34,sableux,niebe
6.42,31.06,28.22,106.94,25.4,sablo-argileux,mil
6.44,42.23,31.02,95.21,54.33,limoneux,riz
6.29,31.36,24.5,70.54,16.37,sableux,niebe
5.9,16.04,30.53,61.17,17.74,sableux,arachide
7.1,33.93,13.9,53.71,20.72,sablo-argileux,niebe
6.3,31.77,35.1,117.7,28.24,limono-argileux,sorgho
6.3,43.76,22.89,66.73,32.61,limono-argileux,sorgho
6.64,28.3,21.78,53.66,11.99,sablo-argileux,mil
6.84,48.88,20.78,78.81,19.91,sablo-argileux,niebe
6.84,32.83,16.65,77.11,16.0,sableux,niebe
6.67,48.75,31.27,102.54,28.81,limono-argileux,sorgho
6.15,26.57,10.09,96.78,16.97,sablo-argileux,niebe
7.02,37.57,11.78,85.63,15.75,sableux,niebe
5.7,23.98,17.44,68.95,16.72,sablo-limoneux,arachide
7.49,56.1,16.91,101.47,31.37,sablo-argileux,sorgho
5.91,35.09,27.24,104.25,17.43,sablo-argileux,sorgho
6.05,56.24,34.64,93.65,32.43,sablo-argileux,sorgho
5.75,28.83,34.33,63.6,16.28,sableux,arachide
5.86,41.39,29.72,88.7,14.4,sablo-argileux,mil
6.1,52.63,35.89,67.98,57.79,argileux,riz
6.02,20.45,25.81,59.7,20.83,sableux,arachide
6.35,30.93,17.14,53.96,12.63,sablo-argileux,mil
6.47,58.15,38.17,76.0,21.17,limono-argileux,sorgho
6.15,37.88,32.06,125.62,18.3,sablo-argileux,sorgho
5.23,52.19,28.13,126.23,58.13,argileux,riz
5.83,58.32,32.46,100.65,25.86,limono-argileux,sorgho
5.28,42.26,27.37,69.13,65.5,argileux,riz
5.64,20.93,25.72,55.51,17.02,sableux,mil
6.21,53.53,36.39,93.19,25.8,sablo-argileux,sorgho
6.69,31.85,13.6,84.74,18.63,sablo-argileux,niebe
5.35,53.59,36.0,137.28,40.34,argileux,riz
6.57,28.18,20.44,46.36,24.51,sableux,arachide
6.04,24.31,10.69,53.82,23.85,sablo-argileux,niebe
6.31,65.86,28.12,140.62,49.43,limoneux,riz
6.54,34.02,20.29,70.32,22.66,sableux,niebe
7.12,45.17,12.72,99.63,23.6,sableux,niebe
6.22,42.85,17.25,111.17,10.67,sableux,mil
6.64,30.43,14.09,108.77,18.54,sablo-argileux,mil
6.95,40.91,20.05,60.82,22.3,sablo-argileux,niebe
6.48,24.76,19.95,63.42,21.56,sableux,niebe
6.58,47.59,32.18,81.22,32.13,limono-argileux,sorgho
6.18,16.19,24.42,79.16,15.87,sablo-limoneux,arachide
6.18,48.79,47.74,113.61,56.8,argileux,riz
5.43,59.5,31.06,119.25,62.47,limoneux,riz
5.28,71.26,25.91,139.64,36.64,limoneux,riz
5.19,68.08,26.95,78.27,51.42,argileux,riz
5.87,48.08,14.73,52.86,19.45,sablo-argileux,mil
5.04,77.23,46.92,144.0,68.14,limoneux,riz
7.42,31.53,24.46,106.75,16.79,limono-argileux,sorgho
5.3,49.49,27.61,147.97,65.14,limoneux,riz
5.83,49.38,20.12,81.42,42.98,limoneux,riz
5.07,59.5,31.29,71.03,65.05,limoneux,riz
6.66,20.06,18.29,60.47,21.37,sablo-argileux,mil
6.8,19.32,27.64,76.77,22.48,sablo-limoneux,arachide
6.2,34.78,14.31,68.0,21.97,sableux,niebe
6.99,15.71,25.84,52.28,18.05,sableux,arachide
6.02,30.33,31.93,122.36,21.04,limono-argileux,sorgho
7.32,43.38,16.29,60.26,18.61,limono-argileux,sorgho
6.31,36.74,18.92,110.66,16.62,limono-argileux,sorgho
6.69,45.64,23.56,74.1,19.92,sableux,niebe
5.06,68.34,46.37,125.41,35.01,argileux,riz
5.81,18.53,21.63,71.22,11.2,sablo-limoneux,arachide
7.16,58.25,38.38,80.63,27.37,limono-argileux,sorgho
6.31,62.95,44.97,66.08,42.53,argileux,riz
6.65,25.5,21.09,68.03,20.88,sablo-limoneux,arachide
5.65,20.67,19.87,66.52,13.57,sablo-limoneux,arachide
6.8,37.9,19.76,86.33,16.84,sablo-argileux,sorgho
6.85,25.16,12.76,63.94,14.09,sableux,niebe
7.07,58.9,21.68,68.17,28.96,sablo-argileux,sorgho
6.56,16.41,31.55,51.06,23.05,sablo-limoneux,arachide
7.32,41.53,25.92,84.58,34.86,limono-argileux,sorgho
6.35,15.82,30.26,89.01,19.66,sableux,arachide
5.83,60.92,25.17,107.5,67.22,limoneux,riz
5.31,55.37,34.77,149.3,63.18,argileux,riz
6.88,21.38,28.73,42.64,24.41,sableux,arachide
6.5,34.07,10.11,55.69,12.23,sablo-argileux,niebe
5.98,23.12,22.1,99.69,28.48,sablo-argileux,mil
5.64,36.0,24.6,92.16,18.23,sablo-argileux,mil
5.73,34.7,22.61,86.62,25.06,sableux,mil
5.85,32.34,37.92,82.35,17.52,limono-argileux,sorgho
5.91,49.96,26.72,81.48,30.27,sablo-argileux,sorgho
7.49,30.21,24.09,107.81,18.01,limono-argileux,sorgho
6.72,40.69,20.38,57.29,14.93,sableux,mil
6.09,49.73,46.84,97.09,57.23,limoneux,riz
5.01,50.93,49.72,83.93,60.91,argileux,riz
6.6,36.29,10.13,85.49,21.8,sableux,niebe
6.05,36.69,16.71,70.17,12.5,sablo-limoneux,arachide
6.5,23.7,11.63,98.45,18.19,sablo-argileux,niebe
5.84,42.23,18.89,116.45,24.44,sableux,mil
6.79,25.14,23.82,106.58,17.49,sableux,mil
6.33,34.43,20.88,62.42,24.48,limono-argileux,sorgho
5.88,71.81,48.42,99.36,44.29,argileux,riz
6.74,25.29,16.54,41.41,24.95,sablo-limoneux,arachide
6.2,18.74,22.93,72.67,22.84,sablo-limoneux,arachide
5.42,69.33,49.52,129.29,44.72,limoneux,riz
5.41,51.11,44.08,118.08,68.72,argileux,riz
6.75,43.53,26.03,122.2,20.48,limono-argileux,sorgho
5.75,67.3,21.24,67.56,64.27,limoneux,riz
6.12,22.88,12.47,63.35,23.8,sableux,niebe
6.51,39.76,27.68,63.48,19.39,sableux,arachide
5.58,46.52,39.71,118.45,46.2,argileux,riz
6.79,21.62,21.78,86.99,12.65,sableux,arachide
6.51,36.74,33.76,70.98,14.06,sablo-limoneux,arachide
6.19,60.81,49.12,141.98,63.83,argileux,riz
5.98,39.25,16.37,112.62,30.94,limono-argileux,sorgho
5.78,17.74,33.23,64.6,20.27,sableux,arachide
6.46,50.84,24.15,96.31,23.58,limono-argileux,sorgho
6.45,57.74,32.51,102.24,41.26,argileux,riz
5.53,40.62,19.79,52.53,26.57,sablo-argileux,mil
5.68,35.37,24.92,118.28,27.89,sableux,mil
6.88,17.0,15.33,54.71,21.22,sableux,arachide
6.55,32.43,25.85,47.65,13.06,sableux,arachide
5.59,47.44,19.61,99.28,19.93,sableux,mil
6.38,49.26,34.0,76.81,37.36,argileux,riz
6.15,53.51,26.0,92.17,22.01,sablo-argileux,sorgho
6.41,65.18,32.86,98.18,35.68,limoneux,riz
5.77,47.4,22.51,63.33,17.7,sablo-argileux,mil
6.15,24.8,13.96,93.11,12.08,sableux,mil
6.93,47.49,16.0,74.01,15.33,sablo-argileux,mil
6.31,33.77,18.62,80.27,20.69,sablo-argileux,sorgho
6.72,24.25,11.62,71.63,27.3,sablo-argileux,mil
7.19,32.39,38.4,68.39,31.51,limono-argileux,sorgho
7.15,26.72,13.27,92.49,12.26,sablo-argileux,niebe
6.3,39.82,15.97,64.7,13.6,sablo-limoneux,arachide
6.13,26.68,21.66,79.44,16.3,sablo-argileux,niebe
6.26,45.58,17.44,65.35,19.82,sablo-argileux,niebe
6.52,42.49,21.89,122.19,19.78,limono-argileux,sorgho
5.92,66.86,31.99,147.66,37.18,limoneux,riz
6.9,58.76,35.81,99.9,32.07,limono-argileux,sorgho
6.11,30.25,21.2,89.34,19.31,sablo-argileux,niebe
6.47,29.95,28.94,71.17,24.22,sablo-limoneux,arachide
6.35,55.43,26.28,69.78,18.03,sablo-argileux,sorgho
6.15,33.57,19.04,70.62,22.21,sablo-argileux,mil
7.06,47.54,12.74,90.74,18.39,sableux,niebe
5.98,28.9,29.51,48.68,14.52,sablo-limoneux,arachide
6.48,28.05,18.85,87.85,27.05,sableux,mil
5.37,53.34,46.34,78.52,63.06,limoneux,riz
6.69,50.04,21.42,110.92,33.09,limono-argileux,sorgho
6.85,34.25,29.09,63.31,22.95,sableux,mil
6.75,20.1,18.78,87.37,24.11,sableux,niebe
6.22,37.13,18.57,69.26,32.83,sablo-argileux,sorgho
5.05,40.65,24.51,73.5,59.86,limoneux,riz
6.71,21.2,20.43,87.33,15.84,sableux,arachide
6.86,27.8,24.67,62.92,24.22,sablo-limoneux,arachide
5.84,26.42,16.44,77.76,14.22,sableux,mil
7.13,35.18,28.95,124.22,30.43,sablo-argileux,sorgho
6.54,39.46,22.78,49.92,21.95,sableux,arachide
5.59,46.19,27.98,89.61,61.18,limoneux,riz
5.67,40.46,30.81,121.62,49.5,argileux,riz
6.01,23.67,26.85,113.55,12.05,sablo-argileux,mil
6.23,31.55,14.02,59.36,19.5,sableux,niebe
6.89,52.05,30.74,83.51,27.29,sablo-argileux,sorgho
6.72,43.86,18.39,83.99,12.71,sableux,mil
6.74,52.8,18.35,98.24,16.08,sablo-argileux,sorgho
6.8,43.41,32.74,109.76,25.19,limono-argileux,sorgho
6.28,42.43,25.51,71.19,24.41,limono-argileux,sorgho
6.71,46.3,11.36,68.61,13.84,sableux,niebe
5.76,48.27,42.02,128.55,45.78,argileux,riz
6.48,41.31,20.17,115.5,21.15,sablo-argileux,sorgho
6.15,26.98,20.47,54.33,19.25,sablo-limoneux,arachide
7.08,20.34,19.48,51.04,22.04,sablo-argileux,niebe
6.24,24.33,12.22,57.87,22.07,sableux,mil
6.21,42.65,33.5,108.5,31.76,argileux,riz
6.08,34.77,16.25,83.42,11.6,sableux,arachide
7.3,36.74,30.4,94.12,30.27,limono-argileux,sorgho
6.81,29.07,15.49,84.17,26.33,sablo-argileux,mil
5.52,16.77,31.89,64.9,10.57,sableux,arachide
6.92,24.69,10.91,81.95,19.08,sablo-argileux,niebe
6.01,64.64,21.62,130.38,33.06,limoneux,riz
7.06,34.02,24.92,125.99,19.71,sablo-argileux,sorgho
5.4,79.85,45.04,148.8,43.97,limoneux,riz
6.32,49.37,10.45,69.12,25.23,sableux,mil
6.98,46.77,22.4,109.91,15.45,sablo-argileux,mil
5.55,22.62,26.23,42.91,21.17,sableux,arachide
5.1,47.7,25.35,145.56,51.81,limoneux,riz
6.04,57.08,24.23,83.97,16.72,limono-argileux,sorgho
5.63,69.83,21.79,120.45,34.5,argileux,riz
5.38,60.99,37.51,69.54,53.63,limoneux,riz
6.87,27.98,17.71,52.48,24.74,sableux,niebe
5.9,28.09,34.66,89.32,14.89,sableux,arachide
6.75,54.73,36.19,80.95,30.54,sablo-argileux,sorgho
6.41,44.14,30.56,74.67,54.03,limoneux,riz
5.85,26.26,16.37,64.86,24.15,sablo-limoneux,arachide
5.93,27.81,20.72,40.79,17.34,sableux,arachide
7.14,58.23,31.4,110.45,19.36,limono-argileux,sorgho
6.41,19.46,21.17,58.9,15.77,sableux,arachide
6.16,61.9,23.51,91.81,35.3,limoneux,riz
5.74,69.39,46.71,68.85,59.5,argileux,riz
6.91,20.2,23.55,112.76,25.9,sablo-argileux,mil
6.42,38.41,15.95,65.86,20.57,sableux,niebe
6.03,31.58,14.06,79.72,18.98,sablo-argileux,niebe
5.79,33.66,20.83,75.44,13.27,sableux,arachide
6.9,30.57,18.52,89.11,34.19,sablo-argileux,sorgho
6.01,48.18,15.79,82.62,21.55,sableux,niebe
5.79,31.72,28.81,78.16,17.28,sablo-limoneux,arachide
6.4,33.91,24.12,102.61,13.09,sablo-argileux,mil
5.2,70.26,28.21,124.75,46.84,limoneux,riz
6.74,18.27,28.49,66.94,24.46,sableux,arachide
6.64,38.21,10.43,84.03,17.2,sablo-argileux,niebe
6.11,59.62,39.72,80.54,65.47,limoneux,riz
5.02,52.79,23.85,117.03,59.77,argileux,riz
6.46,29.22,29.96,79.42,17.18,sablo-limoneux,arachide
7.33,39.08,26.82,112.56,26.03,sablo-argileux,sorgho
7.36,44.84,35.92,63.92,20.49,sablo-argileux,sorgho
6.04,24.28,24.75,65.29,18.25,sablo-argileux,niebe
6.22,21.33,22.82,51.95,23.65,sablo-argileux,mil
6.14,29.43,24.54,65.67,24.57,sableux,niebe
6.74,47.0,15.15,86.14,23.98,sablo-argileux,sorgho
6.4,39.61,29.92,90.55,24.18,sableux,mil
7.06,20.56,12.59,79.08,21.07,sablo-argileux,niebe
5.05,48.86,39.84,140.94,37.19,argileux,riz
6.8,18.17,27.15,46.08,16.69,sablo-limoneux,arachide
6.03,32.51,29.78,43.86,11.95,sableux,arachide
6.44,38.91,19.51,78.12,20.84,sablo-limoneux,arachide
6.11,35.6,17.08,58.22,24.29,sableux,niebe
5.66,23.64,16.02,54.97,12.45,sablo-limoneux,arachide
6.17,42.93,16.95,65.97,24.2,sablo-argileux,sorgho
6.65,27.83,20.73,86.92,10.34,sableux,mil
6.3,42.54,26.04,102.16,23.19,sablo-argileux,mil
6.11,26.61,29.68,56.71,17.41,sableux,arachide
7.02,33.44,38.31,115.01,22.48,sablo-argileux,sorgho
6.39,19.18,21.15,68.16,11.15,sableux,arachide
7.29,37.41,17.37,102.56,18.92,sablo-argileux,sorgho
5.78,30.71,18.22,69.05,12.22,sableux,arachide
6.14,27.26,19.5,77.8,22.4,sableux,niebe
5.75,41.83,12.75,90.56,20.05,sablo-argileux,mil
6.15,58.2,28.76,93.3,20.4,sablo-argileux,sorgho
5.87,48.42,28.34,74.79,14.62,sableux,mil
6.42,33.17,21.11,89.23,12.09,sableux,niebe
6.74,22.71,23.91,76.87,20.95,sablo-limoneux,arachide
6.08,36.68,12.06,58.05,20.25,sablo-argileux,niebe
6.35,28.44,10.84,87.28,14.75,sableux,niebe
6.85,43.1,14.73,112.07,22.19,sableux,mil
7.16,58.56,26.04,81.47,34.02,sablo-argileux,sorgho
6.66,27.39,21.9,86.56,14.25,sableux,mil
6.81,29.14,27.48,103.57,12.39,sablo-argileux,mil
5.4,52.83,42.34,87.82,58.39,limoneux,riz
6.32,52.0,41.28,66.99,60.73,limoneux,riz
6.01,43.41,27.62,89.29,48.73,limoneux,riz
6.55,33.1,17.45,54.33,14.05,sablo-argileux,mil
6.8,31.1,28.59,44.34,23.25,sablo-limoneux,arachide
6.71,28.34,10.38,80.48,24.32,sableux,niebe
5.12,67.36,39.18,126.78,52.87,limoneux,riz
5.87,49.09,38.42,110.84,20.04,sablo-argileux,sorgho
7.17,58.36,35.68,89.71,16.38,limono-argileux,sorgho
6.66,43.24,37.01,90.43,22.86,limono-argileux,sorgho
6.25,37.99,19.26,55.61,12.73,sableux,niebe
6.41,47.43,39.12,132.1,62.78,argileux,riz
6.13,56.95,30.38,60.78,33.56,sablo-argileux,sorgho
5.65,49.24,21.53,85.82,15.22,sableux,mil
6.94,32.31,21.27,67.98,15.08,sablo-limoneux,arachide
6.71,58.7,21.17,89.54,30.7,sablo-argileux,sorgho
6.22,62.25,28.83,142.97,39.8,limoneux,riz
6.48,32.79,29.04,93.15,28.76,sablo-argileux,mil
6.46,36.48,30.73,46.55,10.91,sableux,arachide
5.99,36.53,24.78,103.58,20.71,sablo-argileux,sorgho
5.11,61.34,36.7,67.36,65.92,limoneux,riz
6.62,20.39,23.87,48.77,17.42,sablo-limoneux,arachide
6.98,48.61,20.57,74.65,13.96,sablo-argileux,mil
5.51,31.77,27.2,117.69,23.41,sableux,mil
7.2,24.53,20.51,86.19,22.85,sableux,niebe
6.89,44.4,29.17,65.04,29.99,sableux,mil
5.53,36.29,22.09,62.42,26.96,sablo-argileux,mil
5.86,26.14,15.55,75.87,13.91,sablo-limoneux,arachide
6.84,29.13,29.39,79.21,16.33,sablo-limoneux,arachide
6.21,35.62,20.02,68.72,13.39,sablo-limoneux,arachide
7.02,27.84,23.92,54.41,12.74,sableux,niebe
5.88,42.6,23.41,68.0,54.68,limoneux,riz
7.46,38.63,37.51,99.45,19.17,limono-argileux,sorgho
5.53,21.01,16.47,113.9,24.91,sableux,mil
6.16,38.24,34.52,82.53,23.91,limono-argileux,sorgho
5.89,36.65,17.7,74.23,17.77,sableux,mil
7.04,42.78,24.72,87.8,19.77,sablo-argileux,niebe
7.14,42.33,26.53,109.71,21.58,sablo-argileux,sorgho
6.19,34.53,23.03,108.05,17.6,sablo-argileux,sorgho
6.2,40.7,23.68,113.15,17.58,limono-argileux,sorgho
6.43,61.97,43.01,62.04,60.19,limoneux,riz
6.49,41.43,13.49,108.33,27.68,sableux,mil
6.99,45.61,24.94,91.33,13.54,sableux,niebe
5.62,59.21,29.26,106.37,31.59,limoneux,riz
6.16,32.27,22.36,60.09,20.66,sableux,arachide
5.81,21.45,26.86,77.1,17.82,sableux,arachide
6.44,60.17,31.56,149.32,36.09,limoneux,riz
6.19,46.69,18.88,53.42,17.78,sablo-argileux,mil
6.11,70.71,35.64,78.86,51.88,limoneux,riz
7.34,32.96,25.76,109.2,16.65,limono-argileux,sorgho
5.99,29.77,13.38,70.76,15.49,sableux,mil
6.48,56.89,21.32,63.9,54.49,limoneux,riz
6.03,42.88,16.47,75.15,19.89,sableux,niebe
6.29,35.54,13.66,50.35,22.72,sablo-argileux,mil
6.23,28.99,32.23,72.89,21.79,sableux,arachide
6.86,41.17,33.39,96.36,32.85,sablo-argileux,sorgho
6.53,49.2,14.51,54.29,16.69,sablo-argileux,niebe
5.75,30.95,28.3,68.88,10.28,sablo-argileux,mil
7.06,25.04,10.21,74.5,21.6,sablo-argileux,niebe
6.82,37.05,31.28,93.59,33.22,limono-argileux,sorgho
6.23,21.48,12.87,90.97,27.63,sablo-argileux,mil
6.9,18.35,26.56,81.03,15.06,sableux,arachide
7.03,29.67,22.22,77.63,20.38,sableux,niebe
5.54,66.55,47.85,121.5,62.69,limoneux,riz
6.89,33.87,16.34,95.52,20.79,sableux,niebe
5.04,60.81,27.35,117.9,34.34,argileux,riz
6.25,30.72,14.24,90.2,20.58,sablo-argileux,mil
6.48,25.93,16.3,65.94,21.86,sableux,niebe
7.04,35.17,20.19,93.5,12.98,sableux,niebe
6.76,30.82,21.66,97.01,29.01,sablo-argileux,sorgho
6.99,17.14,34.01,84.19,19.55,sablo-limoneux,arachide
6.46,53.76,21.47,69.04,26.34,sablo-argileux,sorgho
6.36,33.7,16.16,126.46,30.73,limono-argileux,sorgho
6.47,36.3,14.12,67.03,21.82,sableux,mil
6.17,79.22,24.54,120.45,30.14,limoneux,riz
5.79,73.97,42.09,128.73,44.9,limoneux,riz
6.01,49.13,41.59,91.97,40.92,limoneux,riz
6.36,36.46,21.48,60.64,29.52,limono-argileux,sorgho
6.67,37.55,25.72,116.21,17.01,sableux,mil
6.4,45.8,38.4,69.44,48.34,limoneux,riz
6.11,32.51,15.62,53.99,24.59,sableux,arachide
6.21,34.4,29.18,75.72,22.42,sablo-limoneux,arachide
6.82,24.65,23.83,68.19,24.52,sablo-limoneux,arachide
6.92,47.44,21.89,84.77,17.33,sableux,niebe
6.14,32.25,31.64,82.47,15.8,sablo-limoneux,arachide
6.06,31.53,20.48,56.31,19.3,sableux,arachide
7.35,45.75,37.4,129.59,17.13,sablo-argileux,sorgho
5.61,35.15,11.9,63.69,15.16,sablo-argileux,mil
6.81,53.42,27.15,85.52,18.7,sablo-argileux,sorgho
7.08,27.87,18.09,58.27,20.71,sablo-argileux,niebe
5.52,72.48,42.85,127.47,58.63,limoneux,riz
5.14,78.47,37.89,61.78,33.32,argileux,riz
6.17,44.28,13.15,66.55,16.6,sablo-argileux,niebe
5.94,28.6,31.4,76.28,21.21,sableux,arachide
6.67,45.44,18.16,69.32,27.58,sablo-argileux,sorgho
6.93,49.25,31.72,86.32,20.14,limono-argileux,sorgho
6.07,44.88,23.37,60.68,12.38,sablo-argileux,niebe
6.47,69.63,34.21,140.06,44.64,limoneux,riz
6.93,27.24,28.58,103.35,19.37,sableux,mil
7.04,33.6,36.58,93.68,31.82,limono-argileux,sorgho
6.41,39.85,13.75,94.33,18.36,sablo-argileux,niebe
6.51,46.77,20.27,78.47,21.96,limono-argileux,sorgho
7.27,37.62,29.07,85.63,22.09,sablo-argileux,sorgho
6.27,20.45,18.04,65.74,22.47,sableux,niebe
6.26,20.51,17.04,52.51,15.64,sablo-limoneux,arachide
6.5,46.7,23.39,98.36,16.43,sableux,niebe
5.17,64.77,38.25,105.97,45.92,argileux,riz
6.98,39.54,22.85,50.1,20.9,sableux,niebe
5.11,76.18,22.92,145.02,34.77,limoneux,riz
6.3,33.65,25.14,69.07,22.37,sablo-argileux,mil
6.13,38.95,28.49,105.82,22.75,sableux,mil
6.58,33.49,34.35,76.22,20.01,limono-argileux,sorgho
6.15,22.36,13.59,99.85,13.93,sablo-argileux,niebe
5.63,19.07,19.21,87.34,16.13,sablo-limoneux,arachide
7.41,34.64,19.54,123.11,26.02,limono-argileux,sorgho
6.5,39.3,14.66,85.17,16.31,sablo-argileux,mil
6.1,59.63,27.04,105.11,33.01,sablo-argileux,sorgho
