culture,pH,rainfall_mm,temperature_C
Sésame (Sesame),6.38,490.3,27.9
Mil (Pearl Millet),5.45,593.6,36.0
Arachide (Groundnut),6.07,617.3,27.8
Arachide (Groundnut),5.99,883.9,21.3
Arachide (Groundnut),5.92,545.0,24.2
Sorgho (Sorghum),7.09,602.6,31.4
Arachide (Groundnut),6.13,663.5,29.8
Gombo (Okra),6.02,674.4,25.7
Sésame (Sesame),6.6,578.2,32.5
Sésame (Sesame),6.14,514.9,30.5
Sésame (Sesame),6.34,470.8,28.2
Riz pluvial (Rainfed Rice),6.27,673.2,30.3
Sésame (Sesame),6.42,652.4,31.8
Mil (Pearl Millet),5.89,722.2,37.4
Arachide (Groundnut),5.96,534.4,24.2
Gombo (Okra),6.01,702.3,28.5
Niébé (Cowpea),5.88,467.5,27.2
Manioc (Cassava),6.55,1181.3,28.2
Niébé (Cowpea),6.5,525.1,28.6
Patate douce (Sweet Potato),5.89,798.8,24.7
Patate douce (Sweet Potato),5.84,958.1,28.5
Riz pluvial (Rainfed Rice),6.32,680.5,30.9
Maïs (Maize),6.23,766.7,30.0
Gombo (Okra),6.1,630.8,22.8
Mil (Pearl Millet),5.64,703.4,39.6
Gombo (Okra),6.18,820.4,21.1
Gombo (Okra),5.99,881.2,28.5
Gombo (Okra),5.86,890.9,24.6
Sorgho (Sorghum),6.34,473.0,27.8
Patate douce (Sweet Potato),5.91,942.3,28.9
Riz pluvial (Rainfed Rice),6.05,609.9,31.0
Riz pluvial (Rainfed Rice),6.05,688.6,24.3
Sésame (Sesame),6.68,668.1,34.9
Mil (Pearl Millet),5.99,597.8,36.7
Gombo (Okra),6.41,796.4,28.9
Maïs (Maize),6.14,882.9,22.9
Maïs (Maize),6.3,613.6,22.4
Sésame (Sesame),6.35,449.4,29.7
Mil (Pearl Millet),5.37,774.9,30.9
Manioc (Cassava),6.34,1346.6,32.3
Arachide (Groundnut),5.87,643.9,27.4
Sésame (Sesame),6.51,694.8,29.7
Riz pluvial (Rainfed Rice),5.84,686.0,24.2
Sorgho (Sorghum),7.38,603.6,31.8
Sésame (Sesame),6.53,609.6,28.7
Arachide (Groundnut),5.96,831.3,24.3
Patate douce (Sweet Potato),6.12,754.3,23.3
Manioc (Cassava),6.76,1499.4,28.7
Niébé (Cowpea),5.85,513.1,30.2
Riz pluvial (Rainfed Rice),5.96,643.2,29.7
Mil (Pearl Millet),5.47,604.7,38.9
Gombo (Okra),6.63,765.3,21.6
Patate douce (Sweet Potato),5.95,934.7,26.8
Sorgho (Sorghum),6.14,590.6,32.9
Sésame (Sesame),6.24,496.5,27.2
Arachide (Groundnut),6.1,601.9,27.5
Gombo (Okra),6.46,879.5,28.8
Niébé (Cowpea),5.69,420.5,31.0
Riz pluvial (Rainfed Rice),5.7,611.2,28.9
Manioc (Cassava),6.79,1113.8,35.0
Mil (Pearl Millet),5.23,594.3,32.8
Sésame (Sesame),6.36,460.7,26.1
Maïs (Maize),6.17,545.7,21.4
Gombo (Okra),6.62,879.9,20.1
Maïs (Maize),6.18,587.4,28.0
Maïs (Maize),6.33,859.3,23.7
Sésame (Sesame),6.23,496.7,26.5
Arachide (Groundnut),5.84,555.0,28.8
Mil (Pearl Millet),5.94,711.8,35.2
Gombo (Okra),6.11,835.4,30.5
Manioc (Cassava),6.61,1103.7,31.6
Arachide (Groundnut),6.08,868.0,22.7
Manioc (Cassava),6.97,1354.2,28.5
Gombo (Okra),6.07,680.0,31.5
Sorgho (Sorghum),6.52,501.3,35.0
Sorgho (Sorghum),6.14,436.7,28.0
Sésame (Sesame),6.64,570.6,30.4
Niébé (Cowpea),5.95,360.4,28.1
Patate douce (Sweet Potato),6.15,1053.9,26.5
Riz pluvial (Rainfed Rice),5.73,694.0,24.7
Manioc (Cassava),6.8,1018.7,30.2
Maïs (Maize),6.18,593.5,26.3
Arachide (Groundnut),6.01,703.3,28.1
Mil (Pearl Millet),5.67,877.3,32.7
Patate douce (Sweet Potato),6.18,1016.4,30.0
Riz pluvial (Rainfed Rice),6.36,624.2,28.5
Mil (Pearl Millet),5.99,704.3,33.2
Gombo (Okra),6.62,800.5,26.0
Patate douce (Sweet Potato),6.07,1069.3,27.7
Mil (Pearl Millet),5.77,806.4,39.7
Patate douce (Sweet Potato),6.18,996.5,27.1
Sorgho (Sorghum),6.62,622.7,27.3
Sésame (Sesame),6.91,540.8,33.1
Maïs (Maize),6.29,897.4,27.2
Maïs (Maize),6.02,583.1,26.9
Sorgho (Sorghum),6.66,456.9,26.8
Arachide (Groundnut),6.09,661.5,29.0
Mil (Pearl Millet),5.41,545.8,38.8
Sorgho (Sorghum),6.31,529.5,27.1
Gombo (Okra),6.15,693.6,24.0
Niébé (Cowpea),6.07,496.9,34.2
Manioc (Cassava),6.08,1035.3,26.5
Sorgho (Sorghum),7.2,628.3,28.4
Sorgho (Sorghum),7.46,476.2,26.4
Gombo (Okra),6.12,688.0,20.6
Sésame (Sesame),6.31,459.6,30.3
Riz pluvial (Rainfed Rice),6.29,683.0,29.0
Patate douce (Sweet Potato),6.06,1082.8,29.1
Sorgho (Sorghum),7.04,593.9,26.7
Maïs (Maize),6.29,742.4,24.4
Manioc (Cassava),5.6,1087.6,25.8
Patate douce (Sweet Potato),6.04,814.0,22.1
Niébé (Cowpea),6.04,558.1,27.5
Niébé (Cowpea),5.76,530.8,28.4
Gombo (Okra),6.19,881.7,26.8
Mil (Pearl Millet),5.24,711.1,35.8
Riz pluvial (Rainfed Rice),6.36,621.3,31.5
Maïs (Maize),6.42,885.4,31.9
Maïs (Maize),6.14,794.1,22.7
Gombo (Okra),6.06,848.1,30.6
Arachide (Groundnut),6.14,505.3,24.8
Niébé (Cowpea),6.02,520.3,30.6
Gombo (Okra),5.94,865.7,32.1
Manioc (Cassava),5.77,1100.8,25.4
Mil (Pearl Millet),5.98,550.9,36.1
Mil (Pearl Millet),5.61,746.4,35.5
Manioc (Cassava),6.22,1243.4,32.8
Sorgho (Sorghum),6.03,578.2,30.1
Mil (Pearl Millet),5.67,575.2,31.5
Manioc (Cassava),6.89,1381.2,25.1
Patate douce (Sweet Potato),6.11,806.1,27.7
Patate douce (Sweet Potato),6.09,826.4,29.1
Riz pluvial (Rainfed Rice),6.01,628.4,26.2
Gombo (Okra),6.09,870.2,24.2
Manioc (Cassava),6.15,1052.2,29.1
Gombo (Okra),5.95,666.9,32.3
Riz pluvial (Rainfed Rice),5.9,659.0,26.7
Manioc (Cassava),6.96,1200.3,26.0
Manioc (Cassava),6.33,1151.7,33.7
Sorgho (Sorghum),7.32,428.4,28.4
Mil (Pearl Millet),5.55,626.4,34.6
Patate douce (Sweet Potato),6.17,1041.3,29.5
Sésame (Sesame),6.73,576.4,34.4
Mil (Pearl Millet),5.83,533.7,33.2
Patate douce (Sweet Potato),6.08,791.4,27.6
Gombo (Okra),6.42,697.4,29.2
Sorgho (Sorghum),6.33,588.2,30.1
Gombo (Okra),6.13,727.8,27.9
Sésame (Sesame),6.45,606.0,34.0
Mil (Pearl Millet),5.92,878.4,32.7
Gombo (Okra),6.66,876.4,25.9
Mil (Pearl Millet),5.46,698.3,36.8
Sorgho (Sorghum),6.26,462.3,28.3
Sésame (Sesame),6.78,598.1,34.4
Sorgho (Sorghum),6.51,418.2,27.2
Maïs (Maize),6.44,796.5,27.1
Patate douce (Sweet Potato),5.96,1077.3,26.8
Mil (Pearl Millet),5.31,591.7,39.5
Patate douce (Sweet Potato),6.1,1014.1,29.4
Sésame (Sesame),6.44,491.8,30.6
Sésame (Sesame),6.57,607.1,25.7
Arachide (Groundnut),6.0,559.4,28.6
Sésame (Sesame),6.81,665.2,30.5
Gombo (Okra),5.8,849.3,27.5
Patate douce (Sweet Potato),6.05,1037.1,24.9
Arachide (Groundnut),5.98,760.9,23.5
Mil (Pearl Millet),5.36,862.2,37.3
Niébé (Cowpea),5.73,387.4,29.3
Mil (Pearl Millet),5.97,540.1,38.8
Niébé (Cowpea),5.76,532.0,28.3
Maïs (Maize),6.26,899.4,26.0
Riz pluvial (Rainfed Rice),6.22,649.1,25.6
Patate douce (Sweet Potato),6.08,1037.4,22.9
Sorgho (Sorghum),6.51,512.6,30.2
Mil (Pearl Millet),5.42,625.5,36.9
Patate douce (Sweet Potato),6.02,753.0,23.9
Gombo (Okra),6.33,795.3,28.4
Riz pluvial (Rainfed Rice),6.05,688.3,31.2
Manioc (Cassava),5.52,1070.6,30.8
Manioc (Cassava),5.68,1311.7,27.7
Patate douce (Sweet Potato),6.09,811.9,27.6
Sésame (Sesame),6.41,623.8,27.9
Riz pluvial (Rainfed Rice),6.38,693.7,25.8
Manioc (Cassava),5.86,1347.2,28.4
Maïs (Maize),6.17,648.8,21.4
Maïs (Maize),6.04,550.4,22.2
Niébé (Cowpea),6.35,426.0,33.7
Patate douce (Sweet Potato),6.02,894.4,27.5
Gombo (Okra),6.44,753.5,30.4
Mil (Pearl Millet),5.7,793.9,35.7
Maïs (Maize),6.38,771.7,25.6
Maïs (Maize),6.29,764.0,26.0
Arachide (Groundnut),5.92,788.0,29.9
Patate douce (Sweet Potato),5.96,1063.9,27.7
Niébé (Cowpea),5.89,497.0,29.6
Manioc (Cassava),6.67,1040.9,25.7
Manioc (Cassava),5.75,1438.3,34.6
Sorgho (Sorghum),7.22,560.4,33.3
Manioc (Cassava),6.77,1261.3,33.3
Patate douce (Sweet Potato),5.99,1039.2,24.4
Maïs (Maize),6.1,850.3,23.3
Riz pluvial (Rainfed Rice),6.36,645.1,29.6
Arachide (Groundnut),5.81,798.7,23.8
Maïs (Maize),6.48,798.3,24.0
Riz pluvial (Rainfed Rice),5.63,612.8,26.1
Patate douce (Sweet Potato),5.85,937.0,23.2
Patate douce (Sweet Potato),6.19,1042.8,22.6
Arachide (Groundnut),5.81,603.8,22.8
Patate douce (Sweet Potato),6.15,960.4,27.8
Gombo (Okra),6.66,699.3,27.3
Niébé (Cowpea),5.58,499.0,31.4
Manioc (Cassava),6.04,1191.7,32.6
Riz pluvial (Rainfed Rice),6.09,694.3,25.5
Sorgho (Sorghum),6.09,594.4,34.3
Manioc (Cassava),6.55,1225.1,27.0
Niébé (Cowpea),5.76,423.2,34.2
Mil (Pearl Millet),5.63,600.1,34.0
Riz pluvial (Rainfed Rice),5.58,665.0,31.7
Mil (Pearl Millet),5.84,551.4,31.5
Maïs (Maize),6.41,780.2,31.4
Niébé (Cowpea),5.63,575.6,28.2
Maïs (Maize),6.34,689.1,30.6
Sorgho (Sorghum),6.68,473.8,31.2
Riz pluvial (Rainfed Rice),6.05,612.4,27.0
Arachide (Groundnut),6.16,711.3,27.7
Arachide (Groundnut),5.93,892.0,27.2
Niébé (Cowpea),6.49,422.1,31.8
Niébé (Cowpea),6.44,532.0,26.2
Mil (Pearl Millet),5.73,760.9,35.2
